loan_id,customer_id,cluster
L0000109,C000092,C2
L0000110,C000093,C1
L0000111,C000094,C4
L0000112,C000094,C4
L0000113,C000095,C3
L0000114,C000095,C3
L0000115,C000096,C3
L0000116,C000096,C3
L0000117,C000097,C2
L0000118,C000098,C1
L0000119,C000099,C2
L0000120,C000100,C2
L0000121,C000101,C3
L0000122,C000101,C3
L0000123,C000101,C3
L0000124,C000102,C2
L0000125,C000103,C2
L0000126,C000104,C2
L0000127,C000104,C2
L0000128,C000105,C2
L0000129,C000106,C2
L0000130,C000107,C1
L0000131,C000108,C2
L0000132,C000109,C2
L0000133,C000110,C2
L0000134,C000111,C2
L0000135,C000112,C2
L0000136,C000113,C2
L0000137,C000114,C2
L0000138,C000115,C4
L0000139,C000116,C1
L0000140,C000117,C2
L0000141,C000118,C1
L0000142,C000119,C1
L0000143,C000120,C1
L0000144,C000121,C2
L0000145,C000122,C3
L0000146,C000122,C3
L0000147,C000123,C2
L0000148,C000124,C2
L0000149,C000125,C2
L0000150,C000126,C2
L0000151,C000127,C2
L0000152,C000128,C3
L0000153,C000128,C3
L0000154,C000128,C3
L0000155,C000129,C2
L0000156,C000130,C2
L0000157,C000131,C2
L0000158,C000132,C2
L0000159,C000133,C1
L0000160,C000134,C1
L0000161,C000135,C2
L0000162,C000136,C3
L0000163,C000136,C3
L0000164,C000137,C1
L0000165,C000138,C2
L0000166,C000139,C1
L0000167,C000140,C2
L0000168,C000141,C2
L0000169,C000142,C2
L0000170,C000142,C2
L0000171,C000143,C2
L0000172,C000144,C1
L0000173,C000145,C1
L0000174,C000146,C1
L0000175,C000146,C1
L0000176,C000147,C2
L0000177,C000148,C2
L0000178,C000149,C1
L0000179,C000150,C2
L0000180,C000151,C3
L0000181,C000151,C3
L0000182,C000152,C2
L0000183,C000153,C2
L0000184,C000153,C2
L0000185,C000154,C3
L0000186,C000154,C3
L0000187,C000155,C3
L0000188,C000155,C3
L0000189,C000156,C2
L0000190,C000157,C3
L0000191,C000157,C3
L0000192,C000158,C2
L0000193,C000159,C1
L0000194,C000160,C4
L0000195,C000161,C2
L0000196,C000162,C2
L0000197,C000163,C2
L0000198,C000164,C1
L0000199,C000165,C2
L0000200,C000166,C1
L0000201,C000167,C3
L0000202,C000167,C3
L0000203,C000168,C3
L0000204,C000168,C3
L0000205,C000169,C3
L0000206,C000169,C3
L0000207,C000169,C3
L0000208,C000170,C2
L0000209,C000171,C1
L0000210,C000172,C2
L0000211,C000173,C1
L0000212,C000174,C3
L0000213,C000174,C3
L0000214,C000175,C3
L0000215,C000175,C3
L0000216,C000176,C2
L0000217,C000176,C2
L0000218,C000177,C3
L0000219,C000177,C3
L0000220,C000178,C1
L0000221,C000179,C3
L0000222,C000179,C3
L0000223,C000180,C2
L0000224,C000181,C4
L0000225,C000181,C4
L0000226,C000181,C4
L0000227,C000182,C2
L0000228,C000183,C4
L0000229,C000184,C2
L0000230,C000185,C3
L0000231,C000185,C3
L0000232,C000186,C2
L0000233,C000187,C2
L0000234,C000188,C3
L0000235,C000188,C3
L0000236,C000189,C2
L0000237,C000190,C2
L0000238,C000191,C2
L0000239,C000192,C4
L0000240,C000193,C3
L0000241,C000193,C3
L0000242,C000194,C1
L0000243,C000195,C4
L0000244,C000195,C4
L0000245,C000196,C3
L0000246,C000196,C3
L0000247,C000196,C3
L0000248,C000197,C1
L0000249,C000198,C2
L0000250,C000199,C2
L0000251,C000200,C2
L0000252,C000201,C3
L0000253,C000201,C3
L0000254,C000202,C1
L0000255,C000203,C2
L0000256,C000203,C2
L0000257,C000204,C2
L0000258,C000205,C3
L0000259,C000205,C3
L0000260,C000206,C2
L0000261,C000207,C2
L0000262,C000208,C1
L0000263,C000209,C2
L0000264,C000210,C1
L0000265,C000211,C1
L0000266,C000212,C2
L0000267,C000213,C3
L0000268,C000213,C3
L0000269,C000214,C1
L0000270,C000215,C1
L0000271,C000216,C4
L0000272,C000217,C2
L0000273,C000218,C1
L0000274,C000219,C3
L0000275,C000219,C3
L0000276,C000220,C2
L0000277,C000221,C2
L0000278,C000222,C2
L0000279,C000223,C2
L0000280,C000224,C1
L0000281,C000225,C2
L0000282,C000226,C3
L0000283,C000226,C3
L0000284,C000227,C2
L0000285,C000228,C2
L0000286,C000229,C1
L0000287,C000230,C2
L0000288,C000231,C1
L0000289,C000232,C2
L0000290,C000233,C2
L0000291,C000234,C2
L0000292,C000235,C2
L0000293,C000236,C1
L0000294,C000237,C2
L0000295,C000238,C3
L0000296,C000238,C3
L0000297,C000238,C3
L0000298,C000239,C2
L0000299,C000240,C2
L0000300,C000241,C2
L0000301,C000242,C1
L0000302,C000243,C3
L0000303,C000243,C3
L0000304,C000244,C3
L0000305,C000244,C3
L0000306,C000244,C3
L0000307,C000245,C2
L0000308,C000246,C1
L0000309,C000247,C2
L0000310,C000248,C4
L0000311,C000248,C4
L0000312,C000248,C4
L0000313,C000249,C2
L0000314,C000250,C3
L0000315,C000250,C3
L0000316,C000251,C2
L0000317,C000252,C3
L0000318,C000252,C3
L0000319,C000252,C3
L0000320,C000253,C3
L0000321,C000253,C3
L0000322,C000254,C2
L0000323,C000255,C2
L0000324,C000256,C2
L0000325,C000257,C1
L0000326,C000258,C2
L0000327,C000259,C2
L0000328,C000260,C1
L0000329,C000261,C1
L0000330,C000262,C2
L0000331,C000263,C2
L0000332,C000264,C4
L0000333,C000265,C4
L0000334,C000266,C2
L0000335,C000266,C2
L0000336,C000267,C2
L0000337,C000268,C3
L0000338,C000268,C3
L0000339,C000269,C2
L0000340,C000270,C3
L0000341,C000270,C3
L0000342,C000271,C1
L0000343,C000272,C2
L0000344,C000273,C2
L0000345,C000274,C2
L0000346,C000275,C2
L0000347,C000276,C3
L0000348,C000276,C3
L0000349,C000276,C3
L0000350,C000277,C2
L0000351,C000278,C2
L0000352,C000279,C2
L0000353,C000280,C2
L0000354,C000281,C1
L0000355,C000282,C2
L0000356,C000283,C2
L0000357,C000284,C2
L0000358,C000285,C3
L0000359,C000285,C3
L0000360,C000286,C2
L0000361,C000287,C2
L0000362,C000288,C2
L0000363,C000289,C2
L0000364,C000289,C2
L0000365,C000290,C2
L0000366,C000291,C4
L0000367,C000291,C4
L0000368,C000292,C2
L0000369,C000293,C1
L0000370,C000294,C3
L0000371,C000294,C3
L0000372,C000294,C3
L0000373,C000295,C2
L0000374,C000296,C3
L0000375,C000296,C3
L0000376,C000297,C1
L0000377,C000297,C1
L0000378,C000298,C2
L0000379,C000299,C3
L0000380,C000299,C3
L0000381,C000299,C3
L0000382,C000300,C2
L0000383,C000301,C2
L0000384,C000302,C2
L0000385,C000303,C2
L0000386,C000304,C2
L0000387,C000305,C1
L0000388,C000306,C1
L0000389,C000307,C2
L0000390,C000308,C1
L0000391,C000309,C2
L0000392,C000310,C4
L0000393,C000311,C2
L0000394,C000312,C2
L0000395,C000313,C2
L0000396,C000314,C1
L0000397,C000315,C3
L0000398,C000315,C3
L0000399,C000316,C2
L0000400,C000317,C1
L0000401,C000318,C2
L0000402,C000319,C2
L0000403,C000320,C2
L0000404,C000321,C4
L0000405,C000322,C1
L0000406,C000323,C4
L0000407,C000324,C2
L0000408,C000325,C2
L0000409,C000326,C1
L0000410,C000327,C2
L0000411,C000328,C1
L0000412,C000329,C2
L0000413,C000329,C2
L0000414,C000330,C3
L0000415,C000330,C3
L0000416,C000330,C3
L0000417,C000331,C1
L0000418,C000332,C1
L0000419,C000333,C2
L0000420,C000334,C2
L0000421,C000335,C2
L0000422,C000336,C3
L0000423,C000336,C3
L0000424,C000337,C2
L0000425,C000338,C2
L0000426,C000339,C1
L0000427,C000340,C3
L0000428,C000340,C3
L0000429,C000340,C3
L0000430,C000341,C2
L0000431,C000342,C1
L0000432,C000342,C1
L0000433,C000343,C1
L0000434,C000344,C3
L0000435,C000344,C3
L0000436,C000345,C1
L0000437,C000346,C3
L0000438,C000346,C3
L0000439,C000347,C2
L0000440,C000348,C2
L0000441,C000349,C2
L0000442,C000349,C2
L0000443,C000350,C1
L0000444,C000351,C3
L0000445,C000351,C3
L0000446,C000352,C3
L0000447,C000352,C3
L0000448,C000352,C3
L0000449,C000353,C4
L0000450,C000354,C1
L0000451,C000355,C2
L0000452,C000356,C2
L0000453,C000357,C2
L0000454,C000358,C2
L0000455,C000359,C2
L0000456,C000360,C1
L0000457,C000361,C2
L0000458,C000362,C2
L0000459,C000363,C2
L0000460,C000364,C4
L0000461,C000365,C3
L0000462,C000365,C3
L0000463,C000366,C2
L0000464,C000367,C2
L0000465,C000368,C3
L0000466,C000368,C3
L0000467,C000368,C3
L0000468,C000369,C2
L0000469,C000370,C3
L0000470,C000370,C3
L0000471,C000371,C2
L0000472,C000372,C2
L0000473,C000373,C2
L0000474,C000374,C3
L0000475,C000374,C3
L0000476,C000374,C3
L0000477,C000375,C1
L0000478,C000376,C2
L0000479,C000376,C2
L0000480,C000377,C2
L0000481,C000378,C1
L0000482,C000379,C1
L0000483,C000380,C2
L0000484,C000381,C2
L0000485,C000382,C2
L0000486,C000383,C2
L0000487,C000384,C1
L0000488,C000385,C3
L0000489,C000385,C3
L0000490,C000386,C3
L0000491,C000386,C3
L0000492,C000387,C4
L0000493,C000388,C2
L0000494,C000389,C1
L0000495,C000390,C1
L0000496,C000391,C1
L0000497,C000392,C1
L0000498,C000393,C2
L0000499,C000394,C2
L0000500,C000395,C1
L0000501,C000396,C1
L0000502,C000397,C1
L0000503,C000398,C2
L0000504,C000399,C1
L0000505,C000400,C3
L0000506,C000400,C3
L0000507,C000401,C3
L0000508,C000401,C3
L0000509,C000402,C1
L0000510,C000403,C1
L0000511,C000404,C2
L0000512,C000405,C2
L0000513,C000406,C1
L0000514,C000407,C2
L0000515,C000408,C2
L0000516,C000409,C1
L0000517,C000410,C2
L0000518,C000411,C1
L0000519,C000411,C1
L0000520,C000412,C2
L0000521,C000413,C3
L0000522,C000413,C3
L0000523,C000414,C3
L0000524,C000414,C3
L0000525,C000415,C1
L0000526,C000416,C2
L0000527,C000417,C2
L0000528,C000417,C2
L0000529,C000418,C3
L0000530,C000418,C3
L0000531,C000418,C3
L0000532,C000419,C2
L0000533,C000420,C4
L0000534,C000421,C1
L0000535,C000422,C2
L0000536,C000423,C1
L0000537,C000424,C2
L0000538,C000425,C3
L0000539,C000425,C3
L0000540,C000426,C2
L0000541,C000427,C2
L0000542,C000428,C1
L0000543,C000429,C4
L0000544,C000429,C4
L0000545,C000430,C2
L0000546,C000431,C1
L0000547,C000432,C2
L0000548,C000433,C2
L0000549,C000434,C2
L0000550,C000435,C1
L0000551,C000436,C2
L0000552,C000437,C2
L0000553,C000438,C2
L0000554,C000439,C2
L0000555,C000440,C2
L0000556,C000441,C2
L0000557,C000442,C2
L0000558,C000443,C1
L0000559,C000444,C2
L0000560,C000445,C1
L0000561,C000446,C1
L0000562,C000447,C2
L0000563,C000448,C2
L0000564,C000449,C2
L0000565,C000450,C4
L0000566,C000451,C2
L0000567,C000451,C2
L0000568,C000452,C2
L0000569,C000453,C1
L0000570,C000454,C2
L0000571,C000455,C2
L0000572,C000456,C2
L0000573,C000457,C2
L0000574,C000457,C2
L0000575,C000458,C2
L0000576,C000459,C2
L0000577,C000460,C1
L0000578,C000461,C3
L0000579,C000461,C3
L0000580,C000461,C3
L0000581,C000462,C3
L0000582,C000462,C3
L0000583,C000462,C3
L0000584,C000463,C2
L0000585,C000464,C2
L0000586,C000465,C1
L0000587,C000466,C2
L0000588,C000467,C1
L0000589,C000468,C2
L0000590,C000469,C3
L0000591,C000469,C3
L0000592,C000470,C2
L0000593,C000471,C2
L0000594,C000472,C2
L0000595,C000473,C1
L0000596,C000474,C2
L0000597,C000475,C2
L0000598,C000476,C1
L0000599,C000477,C3
L0000600,C000477,C3
L0000601,C000478,C1
L0000602,C000479,C3
L0000603,C000479,C3
L0000604,C000480,C3
L0000605,C000480,C3
L0000606,C000480,C3
L0000607,C000481,C1
L0000608,C000482,C3
L0000609,C000482,C3
L0000610,C000483,C1
L0000611,C000484,C3
L0000612,C000484,C3
L0000613,C000485,C1
L0000614,C000485,C1
L0000615,C000486,C1
L0000616,C000487,C1
L0000617,C000488,C2
L0000618,C000489,C2
L0000619,C000490,C4
L0000620,C000491,C3
L0000621,C000491,C3
L0000622,C000492,C1
L0000623,C000493,C2
L0000624,C000494,C2
L0000625,C000495,C1
L0000626,C000496,C1
L0000627,C000497,C1
L0000628,C000498,C2
L0000629,C000499,C1
L0000630,C000499,C1
L0000631,C000500,C2
L0000632,C000501,C1
L0000633,C000502,C2
L0000634,C000503,C2
L0000635,C000504,C3
L0000636,C000504,C3
L0000637,C000505,C2
L0000638,C000506,C3
L0000639,C000506,C3
L0000640,C000507,C4
L0000641,C000507,C4
L0000642,C000508,C2
L0000643,C000509,C1
L0000644,C000510,C2
L0000645,C000511,C2
L0000646,C000512,C2
L0000647,C000513,C4
L0000648,C000514,C2
L0000649,C000515,C2
L0000650,C000516,C1
L0000651,C000516,C1
L0000652,C000517,C2
L0000653,C000518,C3
L0000654,C000518,C3
L0000655,C000518,C3
L0000656,C000519,C2
L0000657,C000520,C1
L0000658,C000521,C2
L0000659,C000521,C2
L0000660,C000522,C2
L0000661,C000523,C2
L0000662,C000524,C2
L0000663,C000525,C2
L0000664,C000526,C2
L0000665,C000527,C2
L0000666,C000528,C4
L0000667,C000529,C2
L0000668,C000530,C2
L0000669,C000531,C2
L0000670,C000532,C1
L0000671,C000533,C2
L0000672,C000534,C1
L0000673,C000535,C1
L0000674,C000536,C3
L0000675,C000536,C3
L0000676,C000537,C2
L0000677,C000538,C2
L0000678,C000539,C1
L0000679,C000540,C2
L0000680,C000540,C2
L0000681,C000541,C2
L0000682,C000542,C2
L0000683,C000543,C1
L0000684,C000544,C1
L0000685,C000545,C1
L0000686,C000546,C2
L0000687,C000547,C3
L0000688,C000547,C3
L0000689,C000548,C1
L0000690,C000549,C2
L0000691,C000550,C1
L0000692,C000551,C2
L0000693,C000552,C3
L0000694,C000552,C3
L0000695,C000553,C2
L0000696,C000554,C2
L0000697,C000555,C2
L0000698,C000556,C1
L0000699,C000557,C2
L0000700,C000558,C2
L0000701,C000559,C1
L0000702,C000560,C2
L0000703,C000561,C1
L0000704,C000562,C2
L0000705,C000563,C2
L0000706,C000564,C2
L0000707,C000565,C3
L0000708,C000565,C3
L0000709,C000566,C2
L0000710,C000567,C1
L0000711,C000568,C3
L0000712,C000568,C3
L0000713,C000569,C2
L0000714,C000570,C1
L0000715,C000571,C1
L0000716,C000572,C1
L0000717,C000573,C2
L0000718,C000574,C1
L0000719,C000575,C2
L0000720,C000576,C3
L0000721,C000576,C3
L0000722,C000577,C2
L0000723,C000578,C1
L0000724,C000579,C4
L0000725,C000580,C3
L0000726,C000580,C3
L0000727,C000581,C2
L0000728,C000582,C1
L0000729,C000583,C2
L0000730,C000584,C3
L0000731,C000584,C3
L0000732,C000585,C3
L0000733,C000585,C3
L0000734,C000585,C3
L0000735,C000586,C4
L0000736,C000587,C3
L0000737,C000587,C3
L0000738,C000588,C1
L0000739,C000589,C1
L0000740,C000590,C2
L0000741,C000591,C3
L0000742,C000591,C3
L0000743,C000591,C3
L0000744,C000592,C2
L0000745,C000593,C2
L0000746,C000594,C1
L0000747,C000594,C1
L0000748,C000595,C3
L0000749,C000595,C3
L0000750,C000595,C3
L0000751,C000596,C2
L0000752,C000597,C2
L0000753,C000598,C2
L0000754,C000599,C2
L0000755,C000600,C1
L0000756,C000601,C2
L0000757,C000602,C2
L0000758,C000603,C2
L0000759,C000604,C3
L0000760,C000604,C3
L0000761,C000605,C2
L0000762,C000606,C2
L0000763,C000607,C2
L0000764,C000608,C1
L0000765,C000609,C2
L0000766,C000610,C2
L0000767,C000611,C2
L0000768,C000612,C1
L0000769,C000613,C2
L0000770,C000614,C2
L0000771,C000615,C3
L0000772,C000615,C3
L0000773,C000616,C2
L0000774,C000617,C3
L0000775,C000617,C3
L0000776,C000618,C1
L0000777,C000619,C1
L0000778,C000620,C2
L0000779,C000621,C2
L0000780,C000621,C2
L0000781,C000622,C1
L0000782,C000623,C2
L0000783,C000624,C2
L0000784,C000625,C2
L0000785,C000626,C1
L0000786,C000627,C1
L0000787,C000628,C1
L0000788,C000629,C2
L0000789,C000630,C2
L0000790,C000631,C1
L0000791,C000631,C1
L0000792,C000632,C2
L0000793,C000633,C4
L0000794,C000634,C2
L0000795,C000635,C2
L0000796,C000636,C2
L0000797,C000637,C2
L0000798,C000638,C2
L0000799,C000639,C4
L0000800,C000640,C2
L0000801,C000641,C3
L0000802,C000641,C3
L0000803,C000642,C1
L0000804,C000643,C2
L0000805,C000644,C2
L0000806,C000645,C1
L0000807,C000646,C2
L0000808,C000647,C2
L0000809,C000648,C2
L0000810,C000649,C2
L0000811,C000649,C2
L0000812,C000650,C1
L0000813,C000651,C2
L0000814,C000652,C1
L0000815,C000653,C2
L0000816,C000654,C2
L0000817,C000655,C2
L0000818,C000656,C1
L0000819,C000657,C2
L0000820,C000658,C1
L0000821,C000659,C2
L0000822,C000660,C2
L0000823,C000661,C4
L0000824,C000662,C2
L0000825,C000663,C2
L0000826,C000664,C4
L0000827,C000665,C2
L0000828,C000666,C2
L0000829,C000667,C3
L0000830,C000667,C3
L0000831,C000667,C3
L0000832,C000668,C2
L0000833,C000669,C1
L0000834,C000670,C2
L0000835,C000670,C2
L0000836,C000671,C2
L0000837,C000672,C1
L0000838,C000673,C2
L0000839,C000674,C2
L0000840,C000674,C2
L0000841,C000675,C1
L0000842,C000676,C1
L0000843,C000677,C2
L0000844,C000678,C2
L0000845,C000679,C2
L0000846,C000680,C2
L0000847,C000681,C2
L0000848,C000682,C3
L0000849,C000682,C3
L0000850,C000683,C2
L0000851,C000684,C3
L0000852,C000684,C3
L0000853,C000685,C2
L0000854,C000686,C2
L0000855,C000687,C3
L0000856,C000687,C3
L0000857,C000688,C4
L0000858,C000689,C1
L0000859,C000690,C2
L0000860,C000691,C2
L0000861,C000692,C3
L0000862,C000692,C3
L0000863,C000693,C2
L0000864,C000694,C1
L0000865,C000695,C2
L0000866,C000696,C2
L0000867,C000697,C1
L0000868,C000698,C2
L0000869,C000699,C2
L0000870,C000700,C3
L0000871,C000700,C3
L0000872,C000701,C2
L0000873,C000702,C2
L0000874,C000703,C2
L0000875,C000704,C2
L0000876,C000705,C2
L0000877,C000706,C2
L0000878,C000707,C2
L0000879,C000707,C2
L0000880,C000708,C1
L0000881,C000709,C2
L0000882,C000710,C4
L0000883,C000711,C2
L0000884,C000712,C1
L0000885,C000713,C4
L0000886,C000714,C2
L0000887,C000715,C1
L0000888,C000716,C2
L0000889,C000717,C2
L0000890,C000718,C2
L0000891,C000718,C2
L0000892,C000719,C2
L0000893,C000720,C2
L0000894,C000721,C2
L0000895,C000722,C2
L0000896,C000722,C2
L0000897,C000723,C1
L0000898,C000724,C1
L0000899,C000725,C3
L0000900,C000725,C3
L0000901,C000726,C2
L0000902,C000727,C2
L0000903,C000728,C2
L0000904,C000729,C2
L0000905,C000730,C2
L0000906,C000731,C1
L0000907,C000732,C2
L0000908,C000733,C1
L0000909,C000734,C2
L0000910,C000734,C2
L0000911,C000735,C2
L0000912,C000736,C2
L0000913,C000737,C1
L0000914,C000738,C2
L0000915,C000739,C2
L0000916,C000740,C2
L0000917,C000741,C2
L0000918,C000742,C1
L0000919,C000743,C1
L0000920,C000744,C1
L0000921,C000745,C2
L0000922,C000746,C4
L0000923,C000747,C2
L0000924,C000748,C2
L0000925,C000749,C2
L0000926,C000750,C3
L0000927,C000750,C3
L0000928,C000750,C3
L0000929,C000751,C1
L0000930,C000752,C2
L0000931,C000753,C1
L0000932,C000754,C2
L0000933,C000754,C2
L0000934,C000755,C4
L0000935,C000756,C1
L0000936,C000757,C1
L0000937,C000758,C2
L0000938,C000759,C2
L0000939,C000760,C1
L0000940,C000761,C2
L0000941,C000762,C2
L0000942,C000763,C2
L0000943,C000764,C1
L0000944,C000765,C2
L0000945,C000766,C1
L0000946,C000767,C1
L0000947,C000768,C2
L0000948,C000769,C2
L0000949,C000770,C1
L0000950,C000771,C1
L0000951,C000772,C2
L0000952,C000773,C2
L0000953,C000774,C2
L0000954,C000775,C1
L0000955,C000776,C2
L0000956,C000777,C2
L0000957,C000778,C1
L0000958,C000779,C2
L0000959,C000780,C2
L0000960,C000781,C1
L0000961,C000782,C2
L0000962,C000783,C1
L0000963,C000783,C1
L0000964,C000784,C1
L0000965,C000785,C2
L0000966,C000786,C2
L0000967,C000787,C3
L0000968,C000787,C3
L0000969,C000788,C3
L0000970,C000788,C3
L0000971,C000789,C2
L0000972,C000790,C2
L0000973,C000791,C1
L0000974,C000792,C1
L0000975,C000793,C2
L0000976,C000794,C2
L0000977,C000795,C2
L0000978,C000796,C2
L0000979,C000797,C1
L0000980,C000798,C1
L0000981,C000798,C1
L0000982,C000799,C3
L0000983,C000799,C3
L0000984,C000800,C3
L0000985,C000800,C3
L0000986,C000800,C3
L0000987,C000801,C2
L0000988,C000802,C4
L0000989,C000803,C2
L0000990,C000804,C2
L0000991,C000805,C2
L0000992,C000806,C1
L0000993,C000807,C2
L0000994,C000808,C2
L0000995,C000809,C2
L0000996,C000810,C2
L0000997,C000811,C2
L0000998,C000812,C2
L0000999,C000813,C2
L0001000,C000814,C3
L0001001,C000814,C3
L0001002,C000815,C2
L0001003,C000816,C1
L0001004,C000817,C2
L0001005,C000818,C1
L0001006,C000819,C2
L0001007,C000820,C2
L0001008,C000821,C1
L0001009,C000822,C2
L0001010,C000823,C2
L0001011,C000824,C2
L0001012,C000825,C1
L0001013,C000826,C3
L0001014,C000826,C3
L0001015,C000827,C2
L0001016,C000828,C2
L0001017,C000829,C2
L0001018,C000830,C2
L0001019,C000831,C3
L0001020,C000831,C3
L0001021,C000831,C3
L0001022,C000832,C2
L0001023,C000833,C1
L0001024,C000834,C3
L0001025,C000834,C3
L0001026,C000835,C1
L0001027,C000836,C1
L0001028,C000837,C3
L0001029,C000837,C3
L0001030,C000838,C2
L0001031,C000839,C1
L0001032,C000840,C1
L0001033,C000841,C2
L0001034,C000842,C1
L0001035,C000843,C2
L0001036,C000844,C3
L0001037,C000844,C3
L0001038,C000845,C4
L0001039,C000846,C2
L0001040,C000847,C2
L0001041,C000848,C2
L0001042,C000849,C2
L0001043,C000850,C3
L0001044,C000850,C3
L0001045,C000851,C1
L0001046,C000852,C2
L0001047,C000853,C4
L0001048,C000853,C4
L0001049,C000854,C1
L0001050,C000855,C2
L0001051,C000856,C3
L0001052,C000856,C3
L0001053,C000857,C2
L0001054,C000857,C2
L0001055,C000858,C4
L0001056,C000858,C4
L0001057,C000859,C1
L0001058,C000860,C2
L0001059,C000861,C3
L0001060,C000861,C3
L0001061,C000862,C1
L0001062,C000863,C1
L0001063,C000864,C2
L0001064,C000865,C1
L0001065,C000866,C2
L0001066,C000867,C2
L0001067,C000868,C3
L0001068,C000868,C3
L0001069,C000869,C3
L0001070,C000869,C3
L0001071,C000870,C2
L0001072,C000871,C1
L0001073,C000872,C3
L0001074,C000872,C3
L0001075,C000872,C3
L0001076,C000873,C2
L0001077,C000874,C3
L0001078,C000874,C3
L0001079,C000875,C2
L0001080,C000876,C2
L0001081,C000876,C2
L0001082,C000877,C4
L0001083,C000878,C2
L0001084,C000879,C1
L0001085,C000880,C2
L0001086,C000881,C4
L0001087,C000882,C2
L0001088,C000883,C2
L0001089,C000884,C2
L0001090,C000885,C1
L0001091,C000886,C1
L0001092,C000887,C3
L0001093,C000887,C3
L0001094,C000888,C3
L0001095,C000888,C3
L0001096,C000889,C2
L0001097,C000890,C1
L0001098,C000891,C2
L0001099,C000892,C2
L0001100,C000893,C3
L0001101,C000893,C3
L0001102,C000894,C2
L0001103,C000895,C1
L0001104,C000896,C2
L0001105,C000897,C2
L0001106,C000898,C2
L0001107,C000899,C2
L0001108,C000900,C3
L0001109,C000900,C3
L0001110,C000901,C1
L0001111,C000902,C1
L0001112,C000903,C1
L0001113,C000904,C3
L0001114,C000904,C3
L0001115,C000904,C3
L0001116,C000905,C3
L0001117,C000905,C3
L0001118,C000906,C4
L0001119,C000907,C2
L0001120,C000908,C2
L0001121,C000909,C1
L0001122,C000910,C3
L0001123,C000910,C3
L0001124,C000911,C2
L0001125,C000912,C2
L0001126,C000913,C2
L0001127,C000914,C2
L0001128,C000915,C2
L0001129,C000916,C2
L0001130,C000917,C2
L0001131,C000917,C2
L0001132,C000918,C3
L0001133,C000918,C3
L0001134,C000918,C3
L0001135,C000919,C3
L0001136,C000919,C3
L0001137,C000920,C1
L0001138,C000921,C2
L0001139,C000922,C1
L0001140,C000923,C2
L0001141,C000924,C2
L0001142,C000925,C1
L0001143,C000926,C1
L0001144,C000927,C2
L0001145,C000928,C2
L0001146,C000929,C3
L0001147,C000929,C3
L0001148,C000929,C3
L0001149,C000930,C1
L0001150,C000931,C2
L0001151,C000932,C2
L0001152,C000933,C1
L0001153,C000934,C1
L0001154,C000935,C1
L0001155,C000936,C1
L0001156,C000937,C2
L0001157,C000938,C2
L0001158,C000939,C2
L0001159,C000940,C1
L0001160,C000941,C1
L0001161,C000942,C2
L0001162,C000943,C2
L0001163,C000944,C2
L0001164,C000945,C2
