loan_id,customer_id,segment
L0000147,C000123,4. Personal Subprime (D-E)
L0000148,C000124,5. SME Prime (A-B)
L0000149,C000125,6. SME Non-prime (C-D-E)
L0000150,C000126,6. SME Non-prime (C-D-E)
L0000151,C000127,1. BNPL (all grades)
L0000152,C000128,2. Personal Prime (A-B)
L0000153,C000128,2. Personal Prime (A-B)
L0000154,C000128,1. BNPL (all grades)
L0000155,C000129,4. Personal Subprime (D-E)
L0000156,C000130,1. BNPL (all grades)
L0000157,C000131,1. BNPL (all grades)
L0000158,C000132,3. Personal Mid (C)
L0000159,C000133,2. Personal Prime (A-B)
L0000160,C000134,3. Personal Mid (C)
L0000161,C000135,1. BNPL (all grades)
L0000162,C000136,4. Personal Subprime (D-E)
L0000163,C000136,6. SME Non-prime (C-D-E)
L0000164,C000137,2. Personal Prime (A-B)
L0000165,C000138,1. BNPL (all grades)
L0000166,C000139,2. Personal Prime (A-B)
L0000167,C000140,1. BNPL (all grades)
L0000168,C000141,1. BNPL (all grades)
L0000169,C000142,2. Personal Prime (A-B)
L0000170,C000142,2. Personal Prime (A-B)
L0000171,C000143,1. BNPL (all grades)
L0000172,C000144,2. Personal Prime (A-B)
L0000173,C000145,1. BNPL (all grades)
L0000174,C000146,2. Personal Prime (A-B)
L0000175,C000146,2. Personal Prime (A-B)
L0000176,C000147,2. Personal Prime (A-B)
L0000177,C000148,2. Personal Prime (A-B)
L0000178,C000149,1. BNPL (all grades)
L0000179,C000150,4. Personal Subprime (D-E)
L0000180,C000151,1. BNPL (all grades)
L0000181,C000151,4. Personal Subprime (D-E)
L0000182,C000152,6. SME Non-prime (C-D-E)
L0000183,C000153,1. BNPL (all grades)
L0000184,C000153,1. BNPL (all grades)
L0000185,C000154,4. Personal Subprime (D-E)
L0000186,C000154,1. BNPL (all grades)
L0000187,C000155,5. SME Prime (A-B)
L0000188,C000155,1. BNPL (all grades)
L0000189,C000156,1. BNPL (all grades)
L0000190,C000157,2. Personal Prime (A-B)
L0000191,C000157,1. BNPL (all grades)
L0000192,C000158,2. Personal Prime (A-B)
L0000193,C000159,2. Personal Prime (A-B)
L0000194,C000160,3. Personal Mid (C)
L0000195,C000161,3. Personal Mid (C)
L0000196,C000162,5. SME Prime (A-B)
L0000197,C000163,6. SME Non-prime (C-D-E)
L0000198,C000164,1. BNPL (all grades)
L0000199,C000165,3. Personal Mid (C)
L0000200,C000166,5. SME Prime (A-B)
L0000201,C000167,1. BNPL (all grades)
L0000202,C000167,2. Personal Prime (A-B)
L0000203,C000168,5. SME Prime (A-B)
L0000204,C000168,1. BNPL (all grades)
L0000205,C000169,1. BNPL (all grades)
L0000206,C000169,2. Personal Prime (A-B)
L0000207,C000169,1. BNPL (all grades)
L0000208,C000170,1. BNPL (all grades)
L0000209,C000171,3. Personal Mid (C)
L0000210,C000172,1. BNPL (all grades)
L0000211,C000173,2. Personal Prime (A-B)
L0000212,C000174,5. SME Prime (A-B)
L0000213,C000174,1. BNPL (all grades)
L0000214,C000175,1. BNPL (all grades)
L0000215,C000175,5. SME Prime (A-B)
L0000216,C000176,3. Personal Mid (C)
L0000217,C000176,3. Personal Mid (C)
L0000218,C000177,6. SME Non-prime (C-D-E)
L0000219,C000177,4. Personal Subprime (D-E)
L0000220,C000178,4. Personal Subprime (D-E)
L0000221,C000179,1. BNPL (all grades)
L0000222,C000179,5. SME Prime (A-B)
L0000223,C000180,5. SME Prime (A-B)
L0000224,C000181,1. BNPL (all grades)
L0000225,C000181,1. BNPL (all grades)
L0000226,C000181,1. BNPL (all grades)
L0000227,C000182,1. BNPL (all grades)
L0000228,C000183,1. BNPL (all grades)
L0000229,C000184,1. BNPL (all grades)
L0000230,C000185,1. BNPL (all grades)
L0000231,C000185,3. Personal Mid (C)
L0000232,C000186,2. Personal Prime (A-B)
L0000233,C000187,1. BNPL (all grades)
L0000234,C000188,1. BNPL (all grades)
L0000235,C000188,5. SME Prime (A-B)
L0000236,C000189,3. Personal Mid (C)
L0000237,C000190,4. Personal Subprime (D-E)
L0000238,C000191,1. BNPL (all grades)
L0000239,C000192,1. BNPL (all grades)
L0000240,C000193,1. BNPL (all grades)
L0000241,C000193,6. SME Non-prime (C-D-E)
L0000242,C000194,1. BNPL (all grades)
L0000243,C000195,6. SME Non-prime (C-D-E)
L0000244,C000195,6. SME Non-prime (C-D-E)
L0000245,C000196,1. BNPL (all grades)
L0000246,C000196,5. SME Prime (A-B)
L0000247,C000196,1. BNPL (all grades)
L0000248,C000197,1. BNPL (all grades)
L0000249,C000198,4. Personal Subprime (D-E)
L0000250,C000199,6. SME Non-prime (C-D-E)
L0000251,C000200,5. SME Prime (A-B)
L0000252,C000201,1. BNPL (all grades)
L0000253,C000201,5. SME Prime (A-B)
L0000254,C000202,1. BNPL (all grades)
L0000255,C000203,4. Personal Subprime (D-E)
L0000256,C000203,4. Personal Subprime (D-E)
L0000257,C000204,2. Personal Prime (A-B)
L0000258,C000205,2. Personal Prime (A-B)
L0000259,C000205,1. BNPL (all grades)
L0000260,C000206,4. Personal Subprime (D-E)
L0000261,C000207,4. Personal Subprime (D-E)
L0000262,C000208,1. BNPL (all grades)
L0000263,C000209,1. BNPL (all grades)
L0000264,C000210,1. BNPL (all grades)
L0000265,C000211,1. BNPL (all grades)
L0000266,C000212,2. Personal Prime (A-B)
L0000267,C000213,3. Personal Mid (C)
L0000268,C000213,1. BNPL (all grades)
L0000269,C000214,1. BNPL (all grades)
L0000270,C000215,2. Personal Prime (A-B)
L0000271,C000216,2. Personal Prime (A-B)
L0000272,C000217,3. Personal Mid (C)
L0000273,C000218,1. BNPL (all grades)
L0000274,C000219,1. BNPL (all grades)
L0000275,C000219,2. Personal Prime (A-B)
L0000276,C000220,3. Personal Mid (C)
L0000277,C000221,1. BNPL (all grades)
L0000278,C000222,1. BNPL (all grades)
L0000279,C000223,1. BNPL (all grades)
L0000280,C000224,3. Personal Mid (C)
L0000281,C000225,1. BNPL (all grades)
L0000282,C000226,6. SME Non-prime (C-D-E)
L0000283,C000226,1. BNPL (all grades)
L0000284,C000227,4. Personal Subprime (D-E)
L0000285,C000228,4. Personal Subprime (D-E)
L0000286,C000229,2. Personal Prime (A-B)
L0000287,C000230,2. Personal Prime (A-B)
L0000288,C000231,3. Personal Mid (C)
L0000289,C000232,3. Personal Mid (C)
L0000290,C000233,5. SME Prime (A-B)
L0000291,C000234,3. Personal Mid (C)
L0000292,C000235,4. Personal Subprime (D-E)
L0000293,C000236,3. Personal Mid (C)
L0000294,C000237,2. Personal Prime (A-B)
L0000295,C000238,3. Personal Mid (C)
L0000296,C000238,6. SME Non-prime (C-D-E)
L0000297,C000238,3. Personal Mid (C)
L0000298,C000239,6. SME Non-prime (C-D-E)
L0000299,C000240,4. Personal Subprime (D-E)
L0000300,C000241,3. Personal Mid (C)
L0000301,C000242,2. Personal Prime (A-B)
L0000302,C000243,1. BNPL (all grades)
L0000303,C000243,4. Personal Subprime (D-E)
L0000304,C000244,2. Personal Prime (A-B)
L0000305,C000244,1. BNPL (all grades)
L0000306,C000244,2. Personal Prime (A-B)
L0000307,C000245,4. Personal Subprime (D-E)
L0000308,C000246,2. Personal Prime (A-B)
L0000309,C000247,5. SME Prime (A-B)
L0000310,C000248,6. SME Non-prime (C-D-E)
L0000311,C000248,4. Personal Subprime (D-E)
L0000312,C000248,4. Personal Subprime (D-E)
L0000313,C000249,1. BNPL (all grades)
L0000314,C000250,6. SME Non-prime (C-D-E)
L0000315,C000250,1. BNPL (all grades)
L0000316,C000251,4. Personal Subprime (D-E)
L0000317,C000252,2. Personal Prime (A-B)
L0000318,C000252,2. Personal Prime (A-B)
L0000319,C000252,1. BNPL (all grades)
L0000320,C000253,4. Personal Subprime (D-E)
L0000321,C000253,6. SME Non-prime (C-D-E)
L0000322,C000254,3. Personal Mid (C)
L0000323,C000255,3. Personal Mid (C)
L0000324,C000256,2. Personal Prime (A-B)
L0000325,C000257,2. Personal Prime (A-B)
L0000326,C000258,3. Personal Mid (C)
L0000327,C000259,6. SME Non-prime (C-D-E)
L0000328,C000260,1. BNPL (all grades)
L0000329,C000261,5. SME Prime (A-B)
L0000330,C000262,2. Personal Prime (A-B)
L0000331,C000263,3. Personal Mid (C)
L0000332,C000264,5. SME Prime (A-B)
L0000333,C000265,2. Personal Prime (A-B)
L0000334,C000266,2. Personal Prime (A-B)
L0000335,C000266,2. Personal Prime (A-B)
L0000336,C000267,1. BNPL (all grades)
L0000337,C000268,1. BNPL (all grades)
L0000338,C000268,2. Personal Prime (A-B)
L0000339,C000269,5. SME Prime (A-B)
L0000340,C000270,5. SME Prime (A-B)
L0000341,C000270,1. BNPL (all grades)
L0000342,C000271,5. SME Prime (A-B)
L0000343,C000272,3. Personal Mid (C)
L0000344,C000273,1. BNPL (all grades)
L0000345,C000274,6. SME Non-prime (C-D-E)
L0000346,C000275,6. SME Non-prime (C-D-E)
L0000347,C000276,4. Personal Subprime (D-E)
L0000348,C000276,6. SME Non-prime (C-D-E)
L0000349,C000276,6. SME Non-prime (C-D-E)
L0000350,C000277,5. SME Prime (A-B)
L0000351,C000278,6. SME Non-prime (C-D-E)
L0000352,C000279,5. SME Prime (A-B)
L0000353,C000280,2. Personal Prime (A-B)
L0000354,C000281,6. SME Non-prime (C-D-E)
L0000355,C000282,2. Personal Prime (A-B)
L0000356,C000283,1. BNPL (all grades)
L0000357,C000284,1. BNPL (all grades)
L0000358,C000285,5. SME Prime (A-B)
L0000359,C000285,2. Personal Prime (A-B)
L0000360,C000286,2. Personal Prime (A-B)
L0000361,C000287,6. SME Non-prime (C-D-E)
L0000362,C000288,3. Personal Mid (C)
L0000363,C000289,3. Personal Mid (C)
L0000364,C000289,3. Personal Mid (C)
L0000365,C000290,3. Personal Mid (C)
L0000366,C000291,4. Personal Subprime (D-E)
L0000367,C000291,6. SME Non-prime (C-D-E)
L0000368,C000292,1. BNPL (all grades)
L0000369,C000293,3. Personal Mid (C)
L0000370,C000294,1. BNPL (all grades)
L0000371,C000294,4. Personal Subprime (D-E)
L0000372,C000294,6. SME Non-prime (C-D-E)
L0000373,C000295,6. SME Non-prime (C-D-E)
L0000374,C000296,2. Personal Prime (A-B)
L0000375,C000296,1. BNPL (all grades)
L0000376,C000297,4. Personal Subprime (D-E)
L0000377,C000297,4. Personal Subprime (D-E)
L0000378,C000298,2. Personal Prime (A-B)
L0000379,C000299,1. BNPL (all grades)
L0000380,C000299,2. Personal Prime (A-B)
L0000381,C000299,2. Personal Prime (A-B)
L0000382,C000300,5. SME Prime (A-B)
L0000383,C000301,2. Personal Prime (A-B)
L0000384,C000302,3. Personal Mid (C)
L0000385,C000303,6. SME Non-prime (C-D-E)
L0000386,C000304,1. BNPL (all grades)
L0000387,C000305,2. Personal Prime (A-B)
L0000388,C000306,6. SME Non-prime (C-D-E)
L0000389,C000307,2. Personal Prime (A-B)
L0000390,C000308,1. BNPL (all grades)
L0000391,C000309,1. BNPL (all grades)
L0000392,C000310,6. SME Non-prime (C-D-E)
L0000393,C000311,6. SME Non-prime (C-D-E)
L0000394,C000312,5. SME Prime (A-B)
L0000395,C000313,1. BNPL (all grades)
L0000396,C000314,3. Personal Mid (C)
L0000397,C000315,6. SME Non-prime (C-D-E)
L0000398,C000315,1. BNPL (all grades)
L0000399,C000316,3. Personal Mid (C)
L0000400,C000317,4. Personal Subprime (D-E)
L0000401,C000318,1. BNPL (all grades)
L0000402,C000319,6. SME Non-prime (C-D-E)
L0000403,C000320,5. SME Prime (A-B)
L0000404,C000321,4. Personal Subprime (D-E)
L0000405,C000322,2. Personal Prime (A-B)
L0000406,C000323,6. SME Non-prime (C-D-E)
L0000407,C000324,1. BNPL (all grades)
L0000408,C000325,5. SME Prime (A-B)
L0000409,C000326,5. SME Prime (A-B)
L0000410,C000327,2. Personal Prime (A-B)
L0000411,C000328,6. SME Non-prime (C-D-E)
L0000412,C000329,6. SME Non-prime (C-D-E)
L0000413,C000329,5. SME Prime (A-B)
L0000414,C000330,3. Personal Mid (C)
L0000415,C000330,3. Personal Mid (C)
L0000416,C000330,1. BNPL (all grades)
L0000417,C000331,1. BNPL (all grades)
L0000418,C000332,1. BNPL (all grades)
L0000419,C000333,1. BNPL (all grades)
L0000420,C000334,4. Personal Subprime (D-E)
L0000421,C000335,2. Personal Prime (A-B)
L0000422,C000336,3. Personal Mid (C)
L0000423,C000336,6. SME Non-prime (C-D-E)
L0000424,C000337,2. Personal Prime (A-B)
L0000425,C000338,5. SME Prime (A-B)
L0000426,C000339,4. Personal Subprime (D-E)
L0000427,C000340,2. Personal Prime (A-B)
L0000428,C000340,2. Personal Prime (A-B)
L0000429,C000340,5. SME Prime (A-B)
L0000430,C000341,1. BNPL (all grades)
L0000431,C000342,2. Personal Prime (A-B)
L0000432,C000342,2. Personal Prime (A-B)
L0000433,C000343,2. Personal Prime (A-B)
L0000434,C000344,2. Personal Prime (A-B)
L0000435,C000344,5. SME Prime (A-B)
L0000436,C000345,4. Personal Subprime (D-E)
L0000437,C000346,1. BNPL (all grades)
L0000438,C000346,2. Personal Prime (A-B)
L0000439,C000347,2. Personal Prime (A-B)
L0000440,C000348,4. Personal Subprime (D-E)
L0000441,C000349,3. Personal Mid (C)
L0000442,C000349,2. Personal Prime (A-B)
L0000443,C000350,4. Personal Subprime (D-E)
L0000444,C000351,6. SME Non-prime (C-D-E)
L0000445,C000351,1. BNPL (all grades)
L0000446,C000352,1. BNPL (all grades)
L0000447,C000352,5. SME Prime (A-B)
L0000448,C000352,2. Personal Prime (A-B)
L0000449,C000353,3. Personal Mid (C)
L0000450,C000354,1. BNPL (all grades)
L0000451,C000355,1. BNPL (all grades)
L0000452,C000356,3. Personal Mid (C)
L0000453,C000357,2. Personal Prime (A-B)
L0000454,C000358,4. Personal Subprime (D-E)
L0000455,C000359,2. Personal Prime (A-B)
L0000456,C000360,1. BNPL (all grades)
L0000457,C000361,3. Personal Mid (C)
L0000458,C000362,3. Personal Mid (C)
L0000459,C000363,6. SME Non-prime (C-D-E)
L0000460,C000364,6. SME Non-prime (C-D-E)
L0000461,C000365,4. Personal Subprime (D-E)
L0000462,C000365,1. BNPL (all grades)
L0000463,C000366,2. Personal Prime (A-B)
L0000464,C000367,3. Personal Mid (C)
L0000465,C000368,5. SME Prime (A-B)
L0000466,C000368,1. BNPL (all grades)
L0000467,C000368,5. SME Prime (A-B)
L0000468,C000369,6. SME Non-prime (C-D-E)
L0000469,C000370,1. BNPL (all grades)
L0000470,C000370,4. Personal Subprime (D-E)
L0000471,C000371,1. BNPL (all grades)
L0000472,C000372,1. BNPL (all grades)
L0000473,C000373,1. BNPL (all grades)
L0000474,C000374,4. Personal Subprime (D-E)
L0000475,C000374,4. Personal Subprime (D-E)
L0000476,C000374,4. Personal Subprime (D-E)
L0000477,C000375,3. Personal Mid (C)
L0000478,C000376,1. BNPL (all grades)
L0000479,C000376,1. BNPL (all grades)
L0000480,C000377,1. BNPL (all grades)
L0000481,C000378,6. SME Non-prime (C-D-E)
L0000482,C000379,6. SME Non-prime (C-D-E)
L0000483,C000380,1. BNPL (all grades)
L0000484,C000381,2. Personal Prime (A-B)
L0000485,C000382,5. SME Prime (A-B)
L0000486,C000383,2. Personal Prime (A-B)
L0000487,C000384,2. Personal Prime (A-B)
L0000488,C000385,1. BNPL (all grades)
L0000489,C000385,2. Personal Prime (A-B)
L0000490,C000386,1. BNPL (all grades)
L0000491,C000386,4. Personal Subprime (D-E)
L0000492,C000387,2. Personal Prime (A-B)
L0000493,C000388,2. Personal Prime (A-B)
L0000494,C000389,1. BNPL (all grades)
L0000495,C000390,1. BNPL (all grades)
L0000496,C000391,4. Personal Subprime (D-E)
L0000497,C000392,1. BNPL (all grades)
L0000498,C000393,2. Personal Prime (A-B)
L0000499,C000394,2. Personal Prime (A-B)
L0000500,C000395,5. SME Prime (A-B)
L0000501,C000396,5. SME Prime (A-B)
L0000502,C000397,4. Personal Subprime (D-E)
L0000503,C000398,3. Personal Mid (C)
L0000504,C000399,5. SME Prime (A-B)
L0000505,C000400,2. Personal Prime (A-B)
L0000506,C000400,1. BNPL (all grades)
L0000507,C000401,6. SME Non-prime (C-D-E)
L0000508,C000401,4. Personal Subprime (D-E)
L0000509,C000402,6. SME Non-prime (C-D-E)
L0000510,C000403,1. BNPL (all grades)
L0000511,C000404,2. Personal Prime (A-B)
L0000512,C000405,1. BNPL (all grades)
L0000513,C000406,5. SME Prime (A-B)
L0000514,C000407,1. BNPL (all grades)
L0000515,C000408,4. Personal Subprime (D-E)
L0000516,C000409,6. SME Non-prime (C-D-E)
L0000517,C000410,3. Personal Mid (C)
L0000518,C000411,3. Personal Mid (C)
L0000519,C000411,3. Personal Mid (C)
L0000520,C000412,6. SME Non-prime (C-D-E)
L0000521,C000413,1. BNPL (all grades)
L0000522,C000413,3. Personal Mid (C)
L0000523,C000414,2. Personal Prime (A-B)
L0000524,C000414,5. SME Prime (A-B)
L0000525,C000415,1. BNPL (all grades)
L0000526,C000416,5. SME Prime (A-B)
L0000527,C000417,4. Personal Subprime (D-E)
L0000528,C000417,4. Personal Subprime (D-E)
L0000529,C000418,1. BNPL (all grades)
L0000530,C000418,6. SME Non-prime (C-D-E)
L0000531,C000418,4. Personal Subprime (D-E)
L0000532,C000419,1. BNPL (all grades)
L0000533,C000420,6. SME Non-prime (C-D-E)
L0000534,C000421,4. Personal Subprime (D-E)
L0000535,C000422,4. Personal Subprime (D-E)
L0000536,C000423,4. Personal Subprime (D-E)
L0000537,C000424,6. SME Non-prime (C-D-E)
L0000538,C000425,1. BNPL (all grades)
L0000539,C000425,2. Personal Prime (A-B)
L0000540,C000426,5. SME Prime (A-B)
L0000541,C000427,6. SME Non-prime (C-D-E)
L0000542,C000428,2. Personal Prime (A-B)
L0000543,C000429,1. BNPL (all grades)
L0000544,C000429,1. BNPL (all grades)
L0000545,C000430,2. Personal Prime (A-B)
L0000546,C000431,6. SME Non-prime (C-D-E)
L0000547,C000432,1. BNPL (all grades)
L0000548,C000433,2. Personal Prime (A-B)
L0000549,C000434,3. Personal Mid (C)
L0000550,C000435,5. SME Prime (A-B)
L0000551,C000436,1. BNPL (all grades)
L0000552,C000437,1. BNPL (all grades)
L0000553,C000438,6. SME Non-prime (C-D-E)
L0000554,C000439,2. Personal Prime (A-B)
L0000555,C000440,1. BNPL (all grades)
L0000556,C000441,5. SME Prime (A-B)
L0000557,C000442,4. Personal Subprime (D-E)
L0000558,C000443,1. BNPL (all grades)
L0000559,C000444,2. Personal Prime (A-B)
L0000560,C000445,1. BNPL (all grades)
L0000561,C000446,1. BNPL (all grades)
L0000562,C000447,3. Personal Mid (C)
L0000563,C000448,2. Personal Prime (A-B)
L0000564,C000449,5. SME Prime (A-B)
L0000565,C000450,6. SME Non-prime (C-D-E)
L0000566,C000451,3. Personal Mid (C)
L0000567,C000451,3. Personal Mid (C)
L0000568,C000452,1. BNPL (all grades)
L0000569,C000453,2. Personal Prime (A-B)
L0000570,C000454,1. BNPL (all grades)
L0000571,C000455,4. Personal Subprime (D-E)
L0000572,C000456,1. BNPL (all grades)
L0000573,C000457,2. Personal Prime (A-B)
L0000574,C000457,2. Personal Prime (A-B)
L0000575,C000458,4. Personal Subprime (D-E)
L0000576,C000459,2. Personal Prime (A-B)
L0000577,C000460,2. Personal Prime (A-B)
L0000578,C000461,2. Personal Prime (A-B)
L0000579,C000461,6. SME Non-prime (C-D-E)
L0000580,C000461,2. Personal Prime (A-B)
L0000581,C000462,1. BNPL (all grades)
L0000582,C000462,5. SME Prime (A-B)
L0000583,C000462,1. BNPL (all grades)
L0000584,C000463,6. SME Non-prime (C-D-E)
L0000585,C000464,1. BNPL (all grades)
L0000586,C000465,4. Personal Subprime (D-E)
L0000587,C000466,2. Personal Prime (A-B)
L0000588,C000467,6. SME Non-prime (C-D-E)
L0000589,C000468,2. Personal Prime (A-B)
L0000590,C000469,2. Personal Prime (A-B)
L0000591,C000469,5. SME Prime (A-B)
L0000592,C000470,4. Personal Subprime (D-E)
L0000593,C000471,2. Personal Prime (A-B)
L0000594,C000472,2. Personal Prime (A-B)
L0000595,C000473,2. Personal Prime (A-B)
L0000596,C000474,2. Personal Prime (A-B)
L0000597,C000475,2. Personal Prime (A-B)
L0000598,C000476,1. BNPL (all grades)
L0000599,C000477,5. SME Prime (A-B)
L0000600,C000477,1. BNPL (all grades)
L0000601,C000478,1. BNPL (all grades)
L0000602,C000479,3. Personal Mid (C)
L0000603,C000479,1. BNPL (all grades)
L0000604,C000480,6. SME Non-prime (C-D-E)
L0000605,C000480,1. BNPL (all grades)
L0000606,C000480,3. Personal Mid (C)
L0000607,C000481,1. BNPL (all grades)
L0000608,C000482,1. BNPL (all grades)
L0000609,C000482,6. SME Non-prime (C-D-E)
L0000610,C000483,3. Personal Mid (C)
L0000611,C000484,3. Personal Mid (C)
L0000612,C000484,5. SME Prime (A-B)
L0000613,C000485,1. BNPL (all grades)
L0000614,C000485,1. BNPL (all grades)
L0000615,C000486,6. SME Non-prime (C-D-E)
L0000616,C000487,2. Personal Prime (A-B)
L0000617,C000488,2. Personal Prime (A-B)
L0000618,C000489,5. SME Prime (A-B)
L0000619,C000490,1. BNPL (all grades)
L0000620,C000491,1. BNPL (all grades)
L0000621,C000491,6. SME Non-prime (C-D-E)
