loan_id,customer_id,segment,product_type,obs_month,dpd_current,ews_score,band,is_behavioural_distress,recommended_action
L0003206,C002566,3. Personal Non-prime (C-E),Personal,2026-03,60,0.4722,ESCALATION,1,immediate collections
L0003682,C002956,3. Personal Non-prime (C-E),Personal,2026-03,75,0.4722,ESCALATION,1,immediate collections
L0004630,C003719,3. Personal Non-prime (C-E),Personal,2026-03,60,0.4722,ESCALATION,1,immediate collections
L0005341,C004289,4. SME Prime (A-B),SME,2026-03,45,0.4722,ESCALATION,1,immediate collections
L0006359,C005110,5. SME Non-prime (C-E),SME,2026-03,30,0.4722,ESCALATION,1,immediate collections
L0007711,C006210,3. Personal Non-prime (C-E),Personal,2026-03,30,0.4722,ESCALATION,1,immediate collections
L0008225,C006610,5. SME Non-prime (C-E),SME,2026-03,45,0.4722,ESCALATION,1,immediate collections
L0009851,C007944,3. Personal Non-prime (C-E),Personal,2026-03,30,0.4722,ESCALATION,1,immediate collections
L0010048,C008106,1. BNPL (grade A-C),BNPL,2026-03,75,0.4722,ESCALATION,1,immediate collections
L0011050,C008892,1. BNPL (grade A-C),BNPL,2026-03,60,0.4722,ESCALATION,1,immediate collections
L0013344,C010744,3. Personal Non-prime (C-E),Personal,2026-03,60,0.4722,ESCALATION,1,immediate collections
L0015142,C012186,3. Personal Non-prime (C-E),Personal,2026-03,45,0.4722,ESCALATION,1,immediate collections
L0015664,C012600,5. SME Non-prime (C-E),SME,2026-03,75,0.4722,ESCALATION,1,immediate collections
L0017407,C014010,3. Personal Non-prime (C-E),Personal,2026-03,30,0.4722,ESCALATION,1,immediate collections
L0019104,C015381,3. Personal Non-prime (C-E),Personal,2026-03,75,0.4722,ESCALATION,1,immediate collections
L0020428,C016443,3. Personal Non-prime (C-E),Personal,2026-03,60,0.4722,ESCALATION,1,immediate collections
L0021474,C017276,3. Personal Non-prime (C-E),Personal,2026-03,75,0.4722,ESCALATION,1,immediate collections
L0022781,C018316,3. Personal Non-prime (C-E),Personal,2026-03,75,0.4722,ESCALATION,1,immediate collections
L0023451,C018859,4. SME Prime (A-B),SME,2026-03,30,0.4722,ESCALATION,1,immediate collections
L0024660,C019851,2. Personal Prime (A-B),Personal,2026-03,45,0.4722,ESCALATION,1,immediate collections
L0024661,C019851,4. SME Prime (A-B),SME,2026-03,45,0.4722,ESCALATION,1,immediate collections
L0026204,C021084,5. SME Non-prime (C-E),SME,2026-03,75,0.4722,ESCALATION,1,immediate collections
L0026303,C021163,5. SME Non-prime (C-E),SME,2026-03,30,0.4722,ESCALATION,1,immediate collections
L0027889,C022418,3. Personal Non-prime (C-E),Personal,2026-03,60,0.4722,ESCALATION,1,immediate collections
L0028275,C022730,3. Personal Non-prime (C-E),Personal,2026-03,60,0.4722,ESCALATION,1,immediate collections
L0028737,C023091,3. Personal Non-prime (C-E),Personal,2026-03,30,0.4722,ESCALATION,1,immediate collections
L0029084,C023381,3. Personal Non-prime (C-E),Personal,2026-03,75,0.4722,ESCALATION,1,immediate collections
L0030548,C024564,3. Personal Non-prime (C-E),Personal,2026-03,45,0.4722,ESCALATION,1,immediate collections
L0031040,C024957,3. Personal Non-prime (C-E),Personal,2026-03,60,0.4722,ESCALATION,1,immediate collections
L0031317,C025190,3. Personal Non-prime (C-E),Personal,2026-03,30,0.4722,ESCALATION,1,immediate collections
L0031657,C025455,3. Personal Non-prime (C-E),Personal,2026-03,30,0.4722,ESCALATION,1,immediate collections
L0032095,C025822,3. Personal Non-prime (C-E),Personal,2026-03,60,0.4722,ESCALATION,1,immediate collections
L0033454,C026925,2. Personal Prime (A-B),Personal,2026-03,60,0.4722,ESCALATION,1,immediate collections
L0033740,C027155,3. Personal Non-prime (C-E),Personal,2026-03,60,0.4722,ESCALATION,1,immediate collections
L0033849,C027242,2. Personal Prime (A-B),Personal,2026-03,30,0.4722,ESCALATION,1,immediate collections
L0034501,C027788,3. Personal Non-prime (C-E),Personal,2026-03,45,0.4722,ESCALATION,1,immediate collections
L0036269,C029216,5. SME Non-prime (C-E),SME,2026-03,30,0.4722,ESCALATION,1,immediate collections
L0036833,C029675,3. Personal Non-prime (C-E),Personal,2026-03,45,0.4722,ESCALATION,1,immediate collections
L0037184,C029953,3. Personal Non-prime (C-E),Personal,2026-03,45,0.4722,ESCALATION,1,immediate collections
L0040051,C032262,2. Personal Prime (A-B),Personal,2026-03,60,0.4722,ESCALATION,1,immediate collections
L0040151,C032344,2. Personal Prime (A-B),Personal,2026-03,60,0.4722,ESCALATION,1,immediate collections
L0043619,C035151,3. Personal Non-prime (C-E),Personal,2026-03,75,0.4722,ESCALATION,1,immediate collections
L0044590,C035940,5. SME Non-prime (C-E),SME,2026-03,60,0.4722,ESCALATION,1,immediate collections
L0044652,C035990,4. SME Prime (A-B),SME,2026-03,75,0.4722,ESCALATION,1,immediate collections
L0045909,C036991,3. Personal Non-prime (C-E),Personal,2026-03,75,0.4722,ESCALATION,1,immediate collections
L0046313,C037319,3. Personal Non-prime (C-E),Personal,2026-03,30,0.4722,ESCALATION,1,immediate collections
L0046468,C037442,3. Personal Non-prime (C-E),Personal,2026-03,75,0.4722,ESCALATION,1,immediate collections
L0047503,C038285,5. SME Non-prime (C-E),SME,2026-03,45,0.4722,ESCALATION,1,immediate collections
L0047510,C038291,5. SME Non-prime (C-E),SME,2026-03,30,0.4722,ESCALATION,1,immediate collections
L0049383,C039831,3. Personal Non-prime (C-E),Personal,2026-03,60,0.4722,ESCALATION,1,immediate collections
L0003996,C003208,5. SME Non-prime (C-E),SME,2026-03,60,0.4588,ESCALATION,1,immediate collections
L0005288,C004249,3. Personal Non-prime (C-E),Personal,2026-03,60,0.4588,ESCALATION,1,immediate collections
L0006715,C005390,2. Personal Prime (A-B),Personal,2026-03,60,0.4588,ESCALATION,1,immediate collections
L0007643,C006152,4. SME Prime (A-B),SME,2026-03,60,0.4588,ESCALATION,1,immediate collections
L0008531,C006861,3. Personal Non-prime (C-E),Personal,2026-03,45,0.4588,ESCALATION,1,immediate collections
L0010544,C008486,3. Personal Non-prime (C-E),Personal,2026-03,75,0.4588,ESCALATION,1,immediate collections
L0014436,C011616,5. SME Non-prime (C-E),SME,2026-03,45,0.4588,ESCALATION,1,immediate collections
L0014849,C011948,2. Personal Prime (A-B),Personal,2026-03,60,0.4588,ESCALATION,1,immediate collections
L0016143,C012972,5. SME Non-prime (C-E),SME,2026-03,45,0.4588,ESCALATION,1,immediate collections
L0018174,C014628,3. Personal Non-prime (C-E),Personal,2026-03,30,0.4588,ESCALATION,1,immediate collections
L0019653,C015825,2. Personal Prime (A-B),Personal,2026-03,60,0.4588,ESCALATION,1,immediate collections
L0019793,C015939,5. SME Non-prime (C-E),SME,2026-03,75,0.4588,ESCALATION,1,immediate collections
L0019902,C016022,2. Personal Prime (A-B),Personal,2026-03,60,0.4588,ESCALATION,1,immediate collections
L0021121,C016994,3. Personal Non-prime (C-E),Personal,2026-03,30,0.4588,ESCALATION,1,immediate collections
L0021396,C017213,3. Personal Non-prime (C-E),Personal,2026-03,75,0.4588,ESCALATION,1,immediate collections
L0023626,C019006,3. Personal Non-prime (C-E),Personal,2026-03,75,0.4588,ESCALATION,1,immediate collections
L0023755,C019105,3. Personal Non-prime (C-E),Personal,2026-03,45,0.4588,ESCALATION,1,immediate collections
L0025584,C020580,5. SME Non-prime (C-E),SME,2026-03,60,0.4588,ESCALATION,1,immediate collections
L0026285,C021148,6. Subprime BNPL (D-E),BNPL,2026-03,45,0.4588,ESCALATION,1,immediate collections
L0027235,C021909,4. SME Prime (A-B),SME,2026-03,60,0.4588,ESCALATION,1,immediate collections
L0027491,C022108,5. SME Non-prime (C-E),SME,2026-03,45,0.4588,ESCALATION,1,immediate collections
L0029207,C023478,4. SME Prime (A-B),SME,2026-03,60,0.4588,ESCALATION,1,immediate collections
L0029623,C023809,5. SME Non-prime (C-E),SME,2026-03,45,0.4588,ESCALATION,1,immediate collections
L0033462,C026931,3. Personal Non-prime (C-E),Personal,2026-03,60,0.4588,ESCALATION,1,immediate collections
L0033569,C027014,5. SME Non-prime (C-E),SME,2026-03,30,0.4588,ESCALATION,1,immediate collections
L0034212,C027546,5. SME Non-prime (C-E),SME,2026-03,30,0.4588,ESCALATION,1,immediate collections
L0034342,C027660,3. Personal Non-prime (C-E),Personal,2026-03,75,0.4588,ESCALATION,1,immediate collections
L0038824,C031277,2. Personal Prime (A-B),Personal,2026-03,30,0.4588,ESCALATION,1,immediate collections
L0039319,C031677,5. SME Non-prime (C-E),SME,2026-03,45,0.4588,ESCALATION,1,immediate collections
L0039997,C032221,3. Personal Non-prime (C-E),Personal,2026-03,30,0.4588,ESCALATION,1,immediate collections
L0040716,C032804,2. Personal Prime (A-B),Personal,2026-03,60,0.4588,ESCALATION,1,immediate collections
L0040997,C033040,4. SME Prime (A-B),SME,2026-03,75,0.4588,ESCALATION,1,immediate collections
L0041674,C033585,2. Personal Prime (A-B),Personal,2026-03,60,0.4588,ESCALATION,1,immediate collections
L0043578,C035117,3. Personal Non-prime (C-E),Personal,2026-03,60,0.4588,ESCALATION,1,immediate collections
L0043802,C035297,5. SME Non-prime (C-E),SME,2026-03,45,0.4588,ESCALATION,1,immediate collections
L0044116,C035547,3. Personal Non-prime (C-E),Personal,2026-03,30,0.4588,ESCALATION,1,immediate collections
L0049259,C039725,3. Personal Non-prime (C-E),Personal,2026-03,60,0.4588,ESCALATION,1,immediate collections
L0006520,C005239,2. Personal Prime (A-B),Personal,2026-03,60,0.4444,ESCALATION,1,immediate collections
L0007576,C006098,3. Personal Non-prime (C-E),Personal,2026-03,30,0.4444,ESCALATION,1,immediate collections
L0014744,C011865,3. Personal Non-prime (C-E),Personal,2026-03,60,0.4444,ESCALATION,1,immediate collections
L0033108,C026637,5. SME Non-prime (C-E),SME,2026-03,60,0.4444,ESCALATION,1,immediate collections
L0001038,C000845,5. SME Non-prime (C-E),SME,2026-03,30,0.439,ESCALATION,1,immediate collections
L0049143,C039628,5. SME Non-prime (C-E),SME,2026-03,60,0.439,ESCALATION,1,immediate collections
L0000392,C000310,5. SME Non-prime (C-E),SME,2026-03,45,0.4188,ESCALATION,1,immediate collections
L0000938,C000759,5. SME Non-prime (C-E),SME,2026-03,75,0.4188,ESCALATION,1,immediate collections
L0000988,C000802,5. SME Non-prime (C-E),SME,2026-03,60,0.4188,ESCALATION,1,immediate collections
L0002111,C001695,4. SME Prime (A-B),SME,2026-03,60,0.4188,ESCALATION,1,immediate collections
L0003354,C002687,5. SME Non-prime (C-E),SME,2026-03,60,0.4188,ESCALATION,1,immediate collections
L0003637,C002918,3. Personal Non-prime (C-E),Personal,2026-03,60,0.4188,ESCALATION,1,immediate collections
L0004450,C003574,3. Personal Non-prime (C-E),Personal,2026-03,60,0.4188,ESCALATION,1,immediate collections
L0004590,C003687,3. Personal Non-prime (C-E),Personal,2026-03,45,0.4188,ESCALATION,1,immediate collections
L0006130,C004926,3. Personal Non-prime (C-E),Personal,2026-03,60,0.4188,ESCALATION,1,immediate collections
L0008157,C006557,3. Personal Non-prime (C-E),Personal,2026-03,30,0.4188,ESCALATION,1,immediate collections
L0009526,C007678,3. Personal Non-prime (C-E),Personal,2026-03,75,0.4188,ESCALATION,1,immediate collections
L0009917,C007995,5. SME Non-prime (C-E),SME,2026-03,60,0.4188,ESCALATION,1,immediate collections
L0010344,C008334,3. Personal Non-prime (C-E),Personal,2026-03,45,0.4188,ESCALATION,1,immediate collections
L0011796,C009477,3. Personal Non-prime (C-E),Personal,2026-03,75,0.4188,ESCALATION,1,immediate collections
L0012476,C010035,2. Personal Prime (A-B),Personal,2026-03,75,0.4188,ESCALATION,1,immediate collections
L0012820,C010317,4. SME Prime (A-B),SME,2026-03,30,0.4188,ESCALATION,1,immediate collections
L0013028,C010485,2. Personal Prime (A-B),Personal,2026-03,60,0.4188,ESCALATION,1,immediate collections
L0013064,C010512,3. Personal Non-prime (C-E),Personal,2026-03,30,0.4188,ESCALATION,1,immediate collections
L0013719,C011031,3. Personal Non-prime (C-E),Personal,2026-03,45,0.4188,ESCALATION,1,immediate collections
L0014009,C011265,3. Personal Non-prime (C-E),Personal,2026-03,60,0.4188,ESCALATION,1,immediate collections
L0014060,C011304,3. Personal Non-prime (C-E),Personal,2026-03,75,0.4188,ESCALATION,1,immediate collections
L0014357,C011550,3. Personal Non-prime (C-E),Personal,2026-03,60,0.4188,ESCALATION,1,immediate collections
L0014373,C011564,5. SME Non-prime (C-E),SME,2026-03,30,0.4188,ESCALATION,1,immediate collections
L0014751,C011870,4. SME Prime (A-B),SME,2026-03,30,0.4188,ESCALATION,1,immediate collections
L0015061,C012119,5. SME Non-prime (C-E),SME,2026-03,75,0.4188,ESCALATION,1,immediate collections
L0015088,C012136,3. Personal Non-prime (C-E),Personal,2026-03,30,0.4188,ESCALATION,1,immediate collections
L0015128,C012174,3. Personal Non-prime (C-E),Personal,2026-03,60,0.4188,ESCALATION,1,immediate collections
L0015148,C012191,2. Personal Prime (A-B),Personal,2026-03,45,0.4188,ESCALATION,1,immediate collections
L0015187,C012223,5. SME Non-prime (C-E),SME,2026-03,75,0.4188,ESCALATION,1,immediate collections
L0015328,C012337,2. Personal Prime (A-B),Personal,2026-03,60,0.4188,ESCALATION,1,immediate collections
L0015481,C012451,1. BNPL (grade A-C),BNPL,2026-03,30,0.4188,ESCALATION,1,immediate collections
L0015493,C012461,3. Personal Non-prime (C-E),Personal,2026-03,30,0.4188,ESCALATION,1,immediate collections
L0016979,C013660,4. SME Prime (A-B),SME,2026-03,45,0.4188,ESCALATION,1,immediate collections
L0017313,C013936,3. Personal Non-prime (C-E),Personal,2026-03,45,0.4188,ESCALATION,1,immediate collections
L0017357,C013971,3. Personal Non-prime (C-E),Personal,2026-03,60,0.4188,ESCALATION,1,immediate collections
L0018883,C015199,5. SME Non-prime (C-E),SME,2026-03,30,0.4188,ESCALATION,1,immediate collections
L0024578,C019784,3. Personal Non-prime (C-E),Personal,2026-03,30,0.4188,ESCALATION,1,immediate collections
L0026748,C021514,4. SME Prime (A-B),SME,2026-03,60,0.4188,ESCALATION,1,immediate collections
L0027038,C021747,5. SME Non-prime (C-E),SME,2026-03,75,0.4188,ESCALATION,1,immediate collections
L0027708,C022275,5. SME Non-prime (C-E),SME,2026-03,75,0.4188,ESCALATION,1,immediate collections
L0031335,C025204,5. SME Non-prime (C-E),SME,2026-03,45,0.4188,ESCALATION,1,immediate collections
L0031398,C025253,3. Personal Non-prime (C-E),Personal,2026-03,60,0.4188,ESCALATION,1,immediate collections
L0032291,C025977,3. Personal Non-prime (C-E),Personal,2026-03,75,0.4188,ESCALATION,1,immediate collections
L0034148,C027486,2. Personal Prime (A-B),Personal,2026-03,30,0.4188,ESCALATION,1,immediate collections
L0034492,C027783,3. Personal Non-prime (C-E),Personal,2026-03,30,0.4188,ESCALATION,1,immediate collections
L0034702,C027952,2. Personal Prime (A-B),Personal,2026-03,75,0.4188,ESCALATION,1,immediate collections
L0035733,C028773,4. SME Prime (A-B),SME,2026-03,45,0.4188,ESCALATION,1,immediate collections
L0037606,C030303,4. SME Prime (A-B),SME,2026-03,75,0.4188,ESCALATION,1,immediate collections
L0039418,C031758,3. Personal Non-prime (C-E),Personal,2026-03,75,0.4188,ESCALATION,1,immediate collections
L0039596,C031906,3. Personal Non-prime (C-E),Personal,2026-03,30,0.4188,ESCALATION,1,immediate collections
L0040050,C032262,2. Personal Prime (A-B),Personal,2026-03,60,0.4188,ESCALATION,1,immediate collections
L0040547,C032668,1. BNPL (grade A-C),BNPL,2026-03,30,0.4188,ESCALATION,1,immediate collections
L0040926,C032981,3. Personal Non-prime (C-E),Personal,2026-03,45,0.4188,ESCALATION,1,immediate collections
L0041556,C033489,3. Personal Non-prime (C-E),Personal,2026-03,30,0.4188,ESCALATION,1,immediate collections
L0042174,C033988,3. Personal Non-prime (C-E),Personal,2026-03,60,0.4188,ESCALATION,1,immediate collections
L0042404,C034172,5. SME Non-prime (C-E),SME,2026-03,60,0.4188,ESCALATION,1,immediate collections
L0043210,C034817,5. SME Non-prime (C-E),SME,2026-03,45,0.4188,ESCALATION,1,immediate collections
L0044048,C035495,5. SME Non-prime (C-E),SME,2026-03,30,0.4188,ESCALATION,1,immediate collections
L0044444,C035816,4. SME Prime (A-B),SME,2026-03,60,0.4188,ESCALATION,1,immediate collections
L0045483,C036652,3. Personal Non-prime (C-E),Personal,2026-03,30,0.4188,ESCALATION,1,immediate collections
L0045772,C036884,2. Personal Prime (A-B),Personal,2026-03,30,0.4188,ESCALATION,1,immediate collections
