loan_id,customer_id,loan_sequence,product_type,ticket_size,tenure_mo,interest_rate_apr,origination_risk_grade,origination_date,origination_cohort,approval_tat_hrs,months_on_book,loan_status,default_flag,value_proxy
L0000029,C000024,1,Personal,64795,16,23.88,C,2026-02-05,2026-02,4.81,5,Active,0,1921
L0000030,C000025,1,Personal,85391,14,15.94,A,2025-02-05,2025-02,17.45,14,Closed,0,2376
L0000031,C000026,1,BNPL,4676,2,26.82,B,2024-07-26,2024-07,9.07,2,Closed,0,-346
L0000032,C000026,2,BNPL,15721,3,30.77,C,2026-06-28,2026-06,20.18,1,Active,0,173
L0000033,C000027,1,Personal,84580,23,20.72,B,2025-07-04,2025-07,2.96,12,Active,0,5095
L0000034,C000028,1,BNPL,14950,2,23.9,A,2025-04-10,2025-04,13.45,2,Closed,0,-255
L0000035,C000029,1,SME,1264288,26,20.09,C,2024-11-07,2024-11,4.73,20,Active,0,148992
L0000036,C000030,1,Personal,87526,15,20.08,B,2025-01-15,2025-01,1.04,15,Closed,0,4359
L0000037,C000031,1,Personal,154496,16,27.91,D,2024-11-25,2024-11,49.43,16,Closed,0,19437
L0000038,C000031,2,BNPL,2182,4,32.96,D,2026-04-01,2026-04,50.66,3,Active,1,-1015
L0000039,C000032,1,Personal,211927,16,24.11,C,2025-08-02,2025-08,3.23,11,Active,0,18553
L0000040,C000033,1,Personal,77687,14,24.44,C,2025-06-11,2025-06,4.14,8,Written-off,1,-40670
L0000041,C000034,1,Personal,52842,30,23.78,C,2025-03-27,2025-03,19.0,16,Active,0,6172
L0000042,C000035,1,BNPL,5403,2,32.77,D,2025-10-15,2025-10,2.47,2,Closed,0,-643
L0000043,C000036,1,Personal,57823,13,19.27,B,2026-01-24,2026-01,29.2,6,Active,0,1360
L0000044,C000037,1,BNPL,8286,4,24.79,A,2025-08-31,2025-08,2.64,4,Closed,0,-881
L0000045,C000038,1,Personal,156706,8,23.98,C,2026-03-22,2026-03,2.07,4,Active,0,5674
L0000046,C000039,1,BNPL,13176,5,29.95,C,2026-04-04,2026-04,31.98,3,Active,0,-987
L0000047,C000040,1,BNPL,4308,4,28.27,B,2025-07-28,2025-07,2.8,4,Closed,0,-1174
L0000048,C000041,1,Personal,112078,22,16.24,A,2025-03-24,2025-03,3.02,3,Closed,0,1637
L0000049,C000042,1,Personal,128863,16,20.37,B,2025-05-06,2025-05,6.27,14,Active,0,8339
L0000050,C000043,1,BNPL,16161,3,24.51,A,2024-09-20,2024-09,15.17,3,Closed,0,-239
L0000051,C000044,1,BNPL,20231,2,26.59,B,2026-03-02,2026-03,2.7,2,Closed,0,-698
L0000052,C000045,1,SME,461309,24,19.87,C,2026-06-28,2026-06,2.92,1,Active,0,9291
L0000053,C000046,1,SME,1052115,42,13.78,A,2024-12-16,2024-12,3.08,10,Closed,0,35699
L0000054,C000047,1,Personal,192834,13,27.8,D,2026-06-19,2026-06,3.92,1,Active,0,4330
L0000055,C000048,1,SME,278333,32,20.19,C,2024-12-15,2024-12,1.68,19,Active,0,32437
L0000056,C000049,1,BNPL,10961,3,30.96,C,2025-05-04,2025-05,3.31,3,Closed,1,-5740
L0000057,C000050,1,SME,811956,20,21.17,C,2026-06-05,2026-06,1.57,1,Active,0,17640
L0000058,C000051,1,Personal,151247,16,27.1,D,2025-08-04,2025-08,32.74,11,Active,0,17151
L0000059,C000052,1,SME,2699541,22,16.63,B,2026-04-25,2026-04,85.82,3,Active,0,74026
L0000060,C000053,1,BNPL,13981,2,30.24,C,2025-03-30,2025-03,1.9,2,Closed,0,-318
L0000061,C000053,2,SME,627173,37,19.5,C,2026-05-09,2026-05,2.63,2,Active,0,17866
L0000062,C000054,1,SME,1920679,28,14.54,A,2024-08-02,2024-08,33.69,23,Active,0,104453
L0000063,C000055,1,BNPL,3400,4,29.84,C,2024-12-13,2024-12,6.15,4,Closed,0,-943
L0000064,C000056,1,BNPL,14394,1,27.49,B,2026-03-31,2026-03,2.52,1,Closed,0,-1251
L0000065,C000057,1,SME,1788028,24,14.46,A,2025-03-11,2025-03,11.19,16,Closed,0,83834
L0000066,C000058,1,Personal,184197,18,32.73,E,2025-12-17,2025-12,92.56,7,Active,0,20193
L0000067,C000059,1,Personal,299210,24,20.45,B,2025-11-16,2025-11,57.72,8,Active,0,18486
L0000068,C000060,1,BNPL,4259,3,36.6,E,2026-04-14,2026-04,3.6,3,Active,1,-2274
L0000069,C000061,1,Personal,272813,17,15.58,A,2024-10-05,2024-10,7.4,17,Closed,0,11226
L0000070,C000061,2,BNPL,14744,3,27.27,B,2026-04-19,2026-04,6.91,3,Closed,0,37
L0000071,C000062,1,Personal,177554,7,19.21,B,2025-01-23,2025-01,8.0,7,Closed,0,8566
L0000072,C000063,1,SME,1055081,31,14.01,A,2025-02-16,2025-02,2.28,17,Active,0,46653
L0000073,C000064,1,Personal,135658,22,27.79,D,2026-05-01,2026-05,39.42,2,Active,0,4650
L0000074,C000065,1,BNPL,9822,4,35.66,E,2025-07-01,2025-07,1.63,4,Closed,0,-89
L0000075,C000066,1,Personal,87269,21,16.45,A,2025-06-26,2025-06,6.15,13,Active,0,2148
L0000076,C000067,1,BNPL,13674,5,30.08,C,2024-08-23,2024-08,3.58,5,Closed,1,-5038
L0000077,C000068,1,BNPL,14452,3,27.21,B,2025-04-04,2025-04,3.76,3,Closed,0,-883
L0000078,C000069,1,SME,2271617,12,17.38,B,2025-05-02,2025-05,22.05,3,Closed,0,64162
L0000079,C000069,2,BNPL,3542,3,25.05,A,2026-04-29,2026-04,7.19,3,Closed,0,-180
L0000080,C000070,1,Personal,227917,6,33.01,E,2024-10-31,2024-10,4.29,6,Closed,0,16788
L0000081,C000070,2,Personal,46679,14,32.45,E,2025-01-18,2025-01,4.88,14,Closed,0,7333
L0000082,C000070,3,BNPL,11851,3,36.58,E,2026-01-04,2026-01,3.62,3,Closed,1,-4360
L0000083,C000071,1,Personal,51831,16,20.63,B,2026-02-03,2026-02,1.0,5,Active,0,1056
L0000084,C000072,1,Personal,125298,16,19.74,B,2024-09-27,2024-09,4.39,16,Closed,0,6509
L0000085,C000073,1,BNPL,16757,5,24.34,A,2026-05-19,2026-05,0.98,2,Active,0,-570
L0000086,C000074,1,BNPL,8120,2,23.66,A,2024-10-30,2024-10,9.25,2,Closed,0,-1126
L0000087,C000074,2,Personal,129687,28,15.62,A,2026-04-25,2026-04,2.2,3,Active,0,3113
L0000088,C000075,1,SME,326275,15,16.59,B,2026-03-23,2026-03,18.18,4,Active,0,9567
L0000089,C000076,1,Personal,327676,11,20.03,B,2025-11-03,2025-11,4.53,1,Closed,0,5872
L0000090,C000077,1,BNPL,4721,3,27.53,B,2025-06-07,2025-06,5.02,3,Closed,0,-286
L0000091,C000078,1,BNPL,5676,5,24.22,A,2025-10-25,2025-10,6.66,5,Closed,0,-1631
L0000092,C000078,2,SME,707815,29,14.81,A,2026-06-11,2026-06,6.54,1,Active,0,12720
L0000093,C000079,1,BNPL,16723,3,23.52,A,2025-07-05,2025-07,2.59,3,Closed,0,-1008
L0000094,C000079,2,Personal,91484,20,15.74,A,2025-08-22,2025-08,3.06,11,Active,0,3369
L0000095,C000079,3,Personal,40640,12,16.36,A,2026-01-04,2026-01,2.53,6,Active,0,917
L0000096,C000080,1,Personal,117782,16,19.63,B,2025-02-17,2025-02,2.09,16,Closed,0,6538
L0000097,C000081,1,Personal,49290,15,19.7,B,2025-10-29,2025-10,3.72,8,Closed,0,958
L0000098,C000082,1,BNPL,15947,5,27.33,B,2025-11-17,2025-11,82.94,5,Closed,0,-482
L0000099,C000083,1,Personal,107323,10,23.79,C,2025-08-04,2025-08,4.58,10,Closed,0,4245
L0000100,C000084,1,BNPL,11620,3,26.75,B,2025-06-30,2025-06,11.7,3,Closed,0,-422
L0000101,C000085,1,BNPL,11137,4,32.82,D,2026-06-22,2026-06,2.82,1,Active,0,-1103
L0000102,C000086,1,Personal,59124,25,24.82,C,2025-03-09,2025-03,2.23,16,Active,0,7342
L0000103,C000087,1,Personal,179763,11,15.81,A,2025-01-24,2025-01,5.02,10,Closed,0,4136
L0000104,C000088,1,Personal,97592,31,24.75,C,2025-04-16,2025-04,3.63,15,Active,0,12517
L0000105,C000089,1,SME,847513,15,23.17,D,2026-03-09,2026-03,30.19,4,Active,0,41332
L0000106,C000090,1,Personal,281930,16,19.87,B,2025-01-07,2025-01,41.85,4,Closed,0,10236
L0000107,C000091,1,BNPL,6307,5,27.77,B,2024-08-14,2024-08,11.26,5,Closed,0,-221
L0000108,C000092,1,Personal,71581,25,23.7,C,2026-02-03,2026-02,3.15,5,Active,0,3000
L0000109,C000092,2,Personal,179063,20,19.69,B,2026-02-06,2026-02,3.92,5,Active,0,7922
L0000110,C000093,1,Personal,103148,14,20.73,B,2025-01-01,2025-01,18.5,14,Closed,0,6620
L0000111,C000094,1,BNPL,18301,4,29.8,C,2024-07-03,2024-07,1.39,4,Closed,0,-318
L0000112,C000094,2,Personal,108120,10,24.42,C,2025-05-27,2025-05,3.49,10,Closed,1,-43858
L0000113,C000095,1,SME,1109823,26,14.47,A,2025-07-25,2025-07,7.45,12,Active,0,44408
L0000114,C000095,2,Personal,58859,16,16.08,A,2025-11-28,2025-11,7.24,8,Active,0,1803
L0000115,C000096,1,BNPL,10725,4,29.07,C,2024-10-09,2024-10,4.24,4,Closed,0,-705
L0000116,C000096,2,SME,859876,14,20.15,C,2025-09-24,2025-09,4.0,10,Active,0,53398
L0000117,C000097,1,SME,1672519,25,16.63,B,2026-01-27,2026-01,1.94,6,Active,0,64862
L0000118,C000098,1,Personal,174451,10,15.42,A,2025-09-11,2025-09,66.27,10,Closed,0,3828
L0000119,C000099,1,BNPL,13122,4,30.31,C,2025-05-09,2025-05,26.48,2,Closed,0,-717
L0000120,C000100,1,SME,1144312,26,19.78,C,2025-03-30,2025-03,1.17,16,Active,0,110902
L0000121,C000101,1,BNPL,3046,4,36.0,E,2024-07-10,2024-07,37.76,4,Closed,1,-2312
L0000122,C000101,2,Personal,75555,17,32.23,E,2025-01-12,2025-01,48.24,5,Closed,0,6436
L0000123,C000101,3,BNPL,5697,2,35.49,E,2026-04-22,2026-04,19.1,2,Closed,0,-13
L0000124,C000102,1,Personal,47199,21,28.81,D,2025-10-23,2025-10,3.89,9,Active,0,3757
L0000125,C000103,1,Personal,75742,18,24.07,C,2025-10-19,2025-10,1.32,9,Active,0,5602
L0000126,C000104,1,Personal,48559,7,20.67,B,2024-07-28,2024-07,1.3,7,Closed,0,707
L0000127,C000104,2,Personal,211824,28,20.3,B,2026-03-30,2026-03,2.66,4,Closed,0,8953
L0000128,C000105,1,SME,412797,25,14.4,A,2026-01-18,2026-01,5.28,6,Closed,0,11637
L0000129,C000106,1,BNPL,17703,5,30.11,C,2026-04-21,2026-04,4.72,3,Active,0,-549
L0000130,C000107,1,Personal,53884,18,19.8,B,2026-06-28,2026-06,5.49,1,Active,0,733
L0000131,C000108,1,BNPL,25802,2,30.44,C,2026-06-29,2026-06,10.08,1,Active,0,-170
L0000132,C000109,1,SME,363428,27,23.25,D,2025-04-11,2025-04,7.24,1,Closed,0,8858
L0000133,C000110,1,SME,1478959,33,23.54,D,2025-10-01,2025-10,2.76,9,Active,0,150315
L0000134,C000111,1,Personal,53862,20,20.38,B,2024-11-16,2024-11,78.08,20,Active,0,2940
L0000135,C000112,1,Personal,274659,20,23.42,C,2025-08-05,2025-08,3.37,11,Active,0,25180
L0000136,C000113,1,BNPL,9803,2,28.01,B,2024-09-15,2024-09,3.37,2,Closed,0,-905
L0000137,C000114,1,Personal,78409,35,24.56,C,2025-04-12,2025-04,1.18,15,Active,0,10097
L0000138,C000115,1,BNPL,6599,2,27.4,B,2026-04-20,2026-04,1.82,2,Closed,0,-1072
L0000139,C000116,1,Personal,133424,11,23.6,C,2024-08-18,2024-08,1.54,11,Closed,0,7702
L0000140,C000117,1,Personal,192290,24,27.92,D,2025-02-12,2025-02,1.17,17,Active,0,33834
L0000141,C000118,1,Personal,187396,17,19.6,B,2025-09-03,2025-09,13.33,10,Active,0,11944
L0000142,C000119,1,Personal,139068,21,28.35,D,2024-09-28,2024-09,34.75,21,Closed,0,25477
L0000143,C000120,1,BNPL,5971,3,35.34,E,2025-10-03,2025-10,7.76,3,Closed,0,-69
L0000144,C000121,1,BNPL,31054,4,29.62,C,2025-03-24,2025-03,41.54,4,Closed,0,-435
L0000145,C000122,1,Personal,107061,9,24.87,C,2025-10-30,2025-10,3.6,9,Closed,0,4793
L0000146,C000122,2,BNPL,18970,3,29.37,C,2026-02-01,2026-02,3.29,3,Closed,0,250
L0000147,C000123,1,Personal,189888,16,28.08,D,2024-09-10,2024-09,11.28,5,Closed,0,14203
L0000148,C000124,1,SME,2217183,16,16.85,B,2026-01-10,2026-01,3.22,6,Active,0,84077
L0000149,C000125,1,SME,200000,31,22.54,D,2025-01-25,2025-01,3.91,18,Active,0,27023
L0000150,C000126,1,SME,447423,22,19.97,C,2024-10-24,2024-10,1.33,10,Closed,0,31292
L0000151,C000127,1,BNPL,7422,3,29.79,C,2026-01-05,2026-01,2.05,3,Closed,0,-749
L0000152,C000128,1,Personal,65772,29,15.98,A,2025-04-02,2025-04,2.45,15,Active,0,2504
L0000153,C000128,2,Personal,101591,16,15.89,A,2025-06-02,2025-06,1.83,13,Active,0,3619
L0000154,C000128,3,BNPL,3055,3,23.83,A,2025-06-17,2025-06,2.11,3,Closed,0,-192
L0000155,C000129,1,Personal,60318,16,27.83,D,2025-04-18,2025-04,2.09,15,Active,0,5625
L0000156,C000130,1,BNPL,10084,4,24.68,A,2025-08-07,2025-08,11.25,4,Closed,0,-437
L0000157,C000131,1,BNPL,5216,4,24.61,A,2025-07-05,2025-07,2.6,4,Closed,0,-1348
L0000158,C000132,1,Personal,55643,23,22.64,C,2025-08-18,2025-08,1.24,11,Active,0,4201
L0000159,C000133,1,Personal,152476,18,20.6,B,2024-11-30,2024-11,28.12,18,Closed,0,11386
L0000160,C000134,1,Personal,34577,20,23.3,C,2025-05-24,2025-05,11.64,14,Active,0,2408
L0000161,C000135,1,BNPL,43242,2,29.73,C,2024-12-24,2024-12,8.3,2,Closed,0,240
L0000162,C000136,1,Personal,56530,18,28.37,D,2025-03-07,2025-03,5.49,16,Active,0,6005
L0000163,C000136,2,SME,484136,8,20.02,C,2026-06-24,2026-06,4.03,1,Active,0,10392
L0000164,C000137,1,Personal,88795,11,20.59,B,2024-09-03,2024-09,14.6,11,Closed,0,4533
L0000165,C000138,1,BNPL,50000,6,24.08,A,2026-05-29,2026-05,2.28,2,Active,0,793
L0000166,C000139,1,Personal,98228,19,16.25,A,2025-03-25,2025-03,25.82,16,Active,0,4580
L0000167,C000140,1,BNPL,28027,3,29.74,C,2024-09-13,2024-09,12.04,3,Closed,0,182
L0000168,C000141,1,BNPL,6264,3,27.24,B,2025-07-18,2025-07,1.73,3,Closed,0,-834
L0000169,C000142,1,Personal,257112,23,19.52,B,2025-06-19,2025-06,3.43,13,Active,0,20100
L0000170,C000142,2,Personal,141209,29,20.44,B,2026-03-06,2026-03,5.17,4,Active,0,5937
L0000171,C000143,1,BNPL,39290,3,26.68,B,2025-12-15,2025-12,2.55,3,Closed,0,114
L0000172,C000144,1,Personal,173729,20,19.59,B,2024-11-17,2024-11,0.76,20,Closed,0,12728
L0000173,C000145,1,BNPL,8005,1,24.07,A,2024-11-20,2024-11,4.88,1,Closed,0,-328
L0000174,C000146,1,Personal,30000,23,19.85,B,2024-10-23,2024-10,9.67,21,Active,0,1245
L0000175,C000146,2,Personal,162957,21,15.36,A,2025-03-24,2025-03,8.28,16,Active,0,7046
L0000176,C000147,1,Personal,185604,18,20.13,B,2025-06-27,2025-06,0.73,13,Active,0,13366
L0000177,C000148,1,Personal,39411,19,16.39,A,2025-11-17,2025-11,27.99,8,Active,0,-139
L0000178,C000149,1,BNPL,35096,2,23.51,A,2024-10-22,2024-10,4.74,2,Closed,0,-1372
L0000179,C000150,1,Personal,53727,10,27.93,D,2025-11-23,2025-11,4.5,8,Active,0,2537
L0000180,C000151,1,BNPL,8537,3,33.39,D,2025-06-30,2025-06,32.1,3,Closed,0,-627
L0000181,C000151,2,Personal,30000,28,27.99,D,2025-07-27,2025-07,76.85,9,Closed,0,3115
L0000182,C000152,1,SME,923962,19,19.66,C,2024-12-30,2024-12,5.3,19,Active,0,79935
L0000183,C000153,1,BNPL,5344,3,32.9,D,2024-07-26,2024-07,92.22,3,Closed,0,-872
L0000184,C000153,2,BNPL,4524,5,33.76,D,2025-09-18,2025-09,73.81,5,Closed,0,-201
L0000185,C000154,1,Personal,246563,20,28.02,D,2024-07-30,2024-07,3.01,20,Closed,0,39038
L0000186,C000154,2,BNPL,8799,4,32.44,D,2025-03-17,2025-03,4.0,4,Closed,0,213
L0000187,C000155,1,SME,441334,22,17.57,B,2025-05-11,2025-05,1.59,14,Active,0,27803
L0000188,C000155,2,BNPL,9659,3,27.39,B,2026-03-05,2026-03,1.62,3,Closed,0,-58
L0000189,C000156,1,BNPL,15450,3,30.34,C,2025-12-07,2025-12,11.41,3,Closed,0,268
L0000190,C000157,1,Personal,171440,8,20.27,B,2024-12-16,2024-12,3.19,8,Closed,0,5311
L0000191,C000157,2,BNPL,5474,5,27.01,B,2025-12-30,2025-12,1.39,5,Closed,0,-162
L0000192,C000158,1,Personal,329198,11,15.86,A,2026-03-03,2026-03,7.05,4,Active,0,8474
L0000193,C000159,1,Personal,46630,31,20.0,B,2025-09-24,2025-09,4.34,10,Active,0,1435
L0000194,C000160,1,Personal,115265,22,22.92,C,2025-04-13,2025-04,2.27,6,Written-off,1,-71556
L0000195,C000161,1,Personal,39257,18,24.4,C,2026-06-24,2026-06,4.39,1,Active,0,-269
L0000196,C000162,1,SME,1310568,42,16.64,B,2024-12-31,2024-12,21.06,19,Active,0,112312
L0000197,C000163,1,SME,641604,28,22.68,D,2024-09-25,2024-09,26.08,22,Active,0,104070
L0000198,C000164,1,BNPL,11754,2,24.1,A,2025-08-22,2025-08,2.61,2,Closed,0,-1593
L0000199,C000165,1,Personal,30000,30,23.94,C,2025-03-14,2025-03,2.48,16,Active,0,2492
L0000200,C000166,1,SME,960872,31,16.59,B,2025-12-04,2025-12,15.4,7,Active,0,41669
L0000201,C000167,1,BNPL,11819,3,23.97,A,2024-09-12,2024-09,62.67,3,Closed,0,-978
L0000202,C000167,2,Personal,289823,17,16.13,A,2025-10-17,2025-10,49.41,9,Active,0,11729
L0000203,C000168,1,SME,5000000,19,17.14,B,2025-01-11,2025-01,0.88,6,Closed,0,201881
L0000204,C000168,2,BNPL,27971,3,27.13,B,2025-04-12,2025-04,1.65,3,Closed,0,281
L0000205,C000169,1,BNPL,7121,4,26.71,B,2024-07-06,2024-07,17.17,4,Closed,0,-512
L0000206,C000169,2,Personal,85595,15,19.59,B,2025-10-06,2025-10,7.65,9,Active,0,4368
L0000207,C000169,3,BNPL,6642,3,26.61,B,2025-11-01,2025-11,6.18,3,Closed,0,-119
L0000208,C000170,1,BNPL,28617,3,26.09,B,2025-02-21,2025-02,44.39,3,Closed,0,84
L0000209,C000171,1,Personal,230516,12,24.09,C,2025-11-29,2025-11,53.18,1,Closed,0,4559
L0000210,C000172,1,BNPL,12999,2,29.48,C,2025-02-07,2025-02,2.94,2,Closed,0,-640
L0000211,C000173,1,Personal,56423,30,19.96,B,2026-02-18,2026-02,46.49,5,Active,0,1005
L0000212,C000174,1,SME,596117,32,12.77,A,2025-02-17,2025-02,33.13,5,Closed,0,11879
L0000213,C000174,2,BNPL,5109,4,25.23,A,2026-03-19,2026-03,16.18,4,Closed,0,-202
L0000214,C000175,1,BNPL,4256,4,27.22,B,2024-08-07,2024-08,6.54,4,Closed,0,-1451
L0000215,C000175,2,SME,209629,40,14.0,A,2025-10-19,2025-10,3.07,9,Active,0,6660
L0000216,C000176,1,Personal,37347,15,23.74,C,2024-12-17,2024-12,12.0,15,Closed,0,2387
L0000217,C000176,2,Personal,59106,8,22.93,C,2025-04-12,2025-04,9.94,8,Closed,0,2362
L0000218,C000177,1,SME,1085321,9,26.84,E,2024-11-30,2024-11,4.68,9,Closed,0,80406
L0000219,C000177,2,Personal,43463,10,31.93,E,2025-04-19,2025-04,3.04,10,Closed,0,3427
L0000220,C000178,1,Personal,107343,12,27.75,D,2024-10-13,2024-10,1.97,12,Closed,1,-10649
L0000221,C000179,1,BNPL,5033,2,26.29,B,2024-08-30,2024-08,3.03,2,Closed,0,-947
L0000222,C000179,2,SME,1169901,28,17.49,B,2025-09-24,2025-09,1.72,10,Active,0,69410
L0000223,C000180,1,SME,200000,17,16.82,B,2025-02-16,2025-02,32.61,17,Active,0,9420
L0000224,C000181,1,BNPL,9690,3,29.35,C,2024-08-02,2024-08,22.75,3,Closed,0,-952
L0000225,C000181,2,BNPL,2997,2,34.12,D,2024-12-31,2024-12,69.95,2,Closed,0,-27
L0000226,C000181,3,BNPL,23374,3,31.2,C,2026-04-14,2026-04,32.38,3,Active,1,-8631
L0000227,C000182,1,BNPL,5876,2,26.14,B,2025-05-21,2025-05,4.96,2,Closed,0,-327
L0000228,C000183,1,BNPL,32078,3,30.53,C,2026-03-13,2026-03,4.14,3,Closed,0,-421
L0000229,C000184,1,BNPL,5151,2,35.26,E,2025-01-05,2025-01,5.01,2,Closed,0,-60
L0000230,C000185,1,BNPL,6125,3,26.5,B,2025-05-25,2025-05,110.29,3,Closed,0,-916
L0000231,C000185,2,Personal,62215,27,23.48,C,2025-12-21,2025-12,37.9,7,Active,0,4366
L0000232,C000186,1,Personal,135462,12,15.55,A,2025-12-02,2025-12,25.85,5,Closed,0,3373
L0000233,C000187,1,BNPL,8324,5,24.3,A,2024-07-20,2024-07,1.93,5,Closed,0,-772
L0000234,C000188,1,BNPL,7218,3,23.28,A,2025-08-29,2025-08,5.57,3,Closed,0,-662
L0000235,C000188,2,SME,1049069,10,14.25,A,2026-01-02,2026-01,0.81,6,Active,0,26536
L0000236,C000189,1,Personal,284420,27,24.86,C,2024-07-27,2024-07,2.14,16,Closed,0,42699
L0000237,C000190,1,Personal,123334,20,27.51,D,2025-02-12,2025-02,44.5,17,Active,0,19283
L0000238,C000191,1,BNPL,28861,3,27.73,B,2026-03-10,2026-03,2.62,3,Closed,0,-709
L0000239,C000192,1,BNPL,3859,5,29.89,C,2025-11-13,2025-11,2.19,5,Closed,0,-693
L0000240,C000193,1,BNPL,11039,1,36.24,E,2024-09-06,2024-09,2.15,1,Closed,0,-1232
L0000241,C000193,2,SME,1216672,13,25.85,E,2026-05-30,2026-05,7.07,2,Active,0,46322
L0000242,C000194,1,BNPL,6781,4,32.71,D,2025-07-27,2025-07,20.03,4,Closed,1,-2771
L0000243,C000195,1,SME,554366,18,26.23,E,2025-05-21,2025-05,3.21,14,Active,0,74704
L0000244,C000195,2,SME,961344,38,23.64,D,2026-04-26,2026-04,8.18,3,Active,0,44316
L0000245,C000196,1,BNPL,20096,2,29.97,C,2024-10-16,2024-10,2.67,2,Closed,0,-833
L0000246,C000196,2,SME,387410,22,17.6,B,2025-12-15,2025-12,1.24,7,Active,0,18108
L0000247,C000196,3,BNPL,7350,5,26.91,B,2026-01-12,2026-01,1.97,5,Closed,0,-102
L0000248,C000197,1,BNPL,8127,3,26.54,B,2025-01-22,2025-01,7.11,3,Closed,0,-1194
L0000249,C000198,1,Personal,118843,18,31.19,E,2025-04-13,2025-04,1.75,15,Active,0,20604
L0000250,C000199,1,SME,200000,27,20.86,C,2024-12-07,2024-12,4.54,19,Active,0,21751
L0000251,C000200,1,SME,953658,21,17.0,B,2026-03-17,2026-03,2.75,4,Active,0,30004
L0000252,C000201,1,BNPL,13807,4,27.47,B,2025-04-02,2025-04,2.12,4,Closed,0,-888
L0000253,C000201,2,SME,315738,20,14.74,A,2026-04-29,2026-04,4.74,3,Active,0,7265
L0000254,C000202,1,BNPL,7208,3,33.36,D,2026-02-14,2026-02,4.78,3,Closed,0,-725
L0000255,C000203,1,Personal,35030,25,27.26,D,2025-03-28,2025-03,4.29,16,Active,0,3086
L0000256,C000203,2,Personal,127556,12,27.35,D,2025-11-19,2025-11,3.24,8,Active,0,10547
L0000257,C000204,1,Personal,277602,27,19.6,B,2026-01-15,2026-01,2.34,6,Active,0,14248
L0000258,C000205,1,Personal,211357,22,20.24,B,2025-04-02,2025-04,3.14,15,Active,0,16835
L0000259,C000205,2,BNPL,50000,3,26.27,B,2025-06-12,2025-06,3.79,3,Closed,0,655
L0000260,C000206,1,Personal,187210,18,27.33,D,2025-09-07,2025-09,61.71,10,Active,0,19608
L0000261,C000207,1,Personal,132213,12,27.96,D,2024-12-16,2024-12,2.38,12,Closed,0,12158
