customer_id,region_type,income_proxy_band,employment_type,age,first_time_borrower,credit_quality_indicator,acquisition_channel,cac
C000074,Semi-urban,Mid,Salaried,35,1,A,Digital ads,1137
C000075,Urban,Low,Informal,37,0,B,Organic,155
C000076,Urban,Low,Salaried,28,0,B,Digital ads,1223
C000077,Urban,Mid,Gig,31,0,B,Organic,136
C000078,Semi-urban,Mid,Self-employed,33,0,A,Digital ads,1387
C000079,Semi-urban,Low,Informal,62,1,B,Digital ads,1121
C000080,Urban,Low,Gig,32,0,B,Digital ads,1335
C000081,Urban,Mid,Salaried,44,1,A,Digital ads,1207
C000082,Urban,Mid,Self-employed,33,1,A,DSA,834
C000083,Urban,Low,Salaried,26,1,D,Digital ads,1897
C000084,Semi-urban,Mid,Salaried,23,1,B,Referral,447
C000085,Urban,Low,Gig,22,1,E,Digital ads,1284
C000086,Rural,Low,Gig,34,0,C,Digital ads,995
C000087,Urban,Mid,Gig,27,0,A,Digital ads,1457
C000088,Semi-urban,Mid,Salaried,51,0,B,Digital ads,1551
C000089,Semi-urban,Mid,Salaried,37,0,D,Referral,349
C000090,Semi-urban,Mid,Self-employed,30,0,A,DSA,1038
C000091,Urban,Mid,Gig,24,0,A,Organic,126
C000092,Urban,Mid,Salaried,29,0,C,Digital ads,1096
C000093,Semi-urban,High,Gig,35,0,B,DSA,897
C000094,Urban,Low,Salaried,26,0,B,Partner-embedded,528
C000095,Semi-urban,Mid,Salaried,31,0,A,Digital ads,1159
C000096,Rural,Mid,Salaried,34,0,D,Digital ads,981
C000097,Rural,Mid,Salaried,23,0,B,Digital ads,1136
C000098,Urban,High,Salaried,44,0,A,DSA,948
C000099,Urban,High,Salaried,34,0,C,DSA,999
C000100,Urban,Mid,Gig,26,1,B,Partner-embedded,414
C000101,Semi-urban,Mid,Salaried,31,1,E,DSA,978
C000102,Urban,Low,Salaried,33,1,C,Digital ads,1285
C000103,Urban,Mid,Salaried,24,1,B,Partner-embedded,703
C000104,Semi-urban,High,Informal,24,0,B,Partner-embedded,662
C000105,Semi-urban,Low,Self-employed,32,0,A,Referral,318
C000106,Urban,High,Gig,29,1,B,Digital ads,916
C000107,Semi-urban,Mid,Salaried,40,0,B,Referral,371
C000108,Urban,High,Salaried,30,1,B,Referral,431
C000109,Semi-urban,Low,Salaried,29,1,C,Organic,118
C000110,Urban,High,Gig,30,1,D,Partner-embedded,537
C000111,Semi-urban,Mid,Self-employed,22,0,B,DSA,1040
C000112,Urban,Low,Informal,24,1,C,Digital ads,1043
C000113,Semi-urban,Low,Gig,30,0,C,Digital ads,1077
C000114,Urban,Mid,Salaried,23,0,C,Partner-embedded,846
C000115,Semi-urban,High,Informal,36,0,C,Digital ads,1083
C000116,Semi-urban,Mid,Salaried,42,0,D,Partner-embedded,697
C000117,Semi-urban,High,Informal,24,1,D,Partner-embedded,432
C000118,Urban,High,Informal,56,1,B,Referral,240
C000119,Semi-urban,Mid,Self-employed,43,1,C,DSA,815
C000120,Urban,Low,Gig,39,1,D,Organic,108
C000121,Semi-urban,Mid,Salaried,26,1,B,DSA,1261
C000122,Semi-urban,Mid,Self-employed,26,0,C,Digital ads,1212
C000123,Urban,Low,Self-employed,26,0,E,Referral,248
C000124,Urban,High,Self-employed,26,0,A,Partner-embedded,499
C000125,Semi-urban,Mid,Gig,34,0,E,Digital ads,1073
C000126,Urban,Mid,Salaried,36,0,C,Partner-embedded,711
C000127,Urban,Mid,Gig,27,0,C,Partner-embedded,664
C000128,Urban,Mid,Salaried,48,0,A,Partner-embedded,472
C000129,Semi-urban,Low,Gig,23,1,C,Partner-embedded,836
C000130,Semi-urban,Mid,Self-employed,29,0,A,Referral,343
C000131,Semi-urban,Mid,Salaried,32,0,B,Digital ads,1144
C000132,Urban,Mid,Gig,29,0,B,Partner-embedded,788
C000133,Urban,High,Salaried,39,0,B,Referral,387
C000134,Semi-urban,Mid,Gig,52,0,C,Referral,274
C000135,Semi-urban,Low,Salaried,36,1,C,Digital ads,1082
C000136,Rural,Low,Self-employed,28,0,D,Digital ads,976
C000137,Urban,Mid,Salaried,39,1,B,Organic,126
C000138,Urban,High,Salaried,34,0,A,Organic,126
C000139,Semi-urban,Mid,Salaried,41,0,A,Organic,118
C000140,Rural,Low,Salaried,25,0,B,Referral,314
C000141,Rural,High,Salaried,18,0,B,Partner-embedded,711
C000142,Urban,Mid,Salaried,30,1,C,Digital ads,1371
C000143,Urban,Mid,Self-employed,22,0,C,Partner-embedded,781
C000144,Semi-urban,Mid,Salaried,42,0,C,Partner-embedded,761
C000145,Rural,Mid,Salaried,36,0,B,Referral,288
C000146,Semi-urban,High,Self-employed,36,0,B,Organic,115
C000147,Semi-urban,High,Salaried,25,0,C,Partner-embedded,801
C000148,Semi-urban,Mid,Salaried,26,0,A,DSA,1201
C000149,Urban,High,Salaried,51,0,A,Digital ads,1572
C000150,Rural,Low,Salaried,25,0,D,Digital ads,1100
C000151,Semi-urban,Mid,Gig,32,0,C,DSA,867
C000152,Rural,Mid,Self-employed,30,0,B,Organic,138
C000153,Urban,Low,Salaried,29,1,E,DSA,758
C000154,Semi-urban,Low,Self-employed,27,0,D,Partner-embedded,821
C000155,Urban,Low,Gig,22,0,B,Digital ads,1013
C000156,Urban,High,Salaried,23,0,C,Referral,166
C000157,Urban,High,Self-employed,49,1,B,Digital ads,1372
C000158,Semi-urban,Low,Salaried,23,1,A,Referral,328
C000159,Urban,Low,Salaried,39,0,C,Digital ads,1458
C000160,Semi-urban,Low,Salaried,27,0,C,Partner-embedded,589
C000161,Semi-urban,High,Informal,22,0,C,Digital ads,1196
C000162,Urban,Mid,Salaried,28,0,B,Referral,308
C000163,Semi-urban,High,Gig,33,0,C,Referral,419
C000164,Urban,Low,Gig,38,0,A,Digital ads,1557
C000165,Urban,Low,Self-employed,29,1,C,Partner-embedded,714
C000166,Semi-urban,Mid,Salaried,42,0,B,Organic,159
C000167,Semi-urban,Mid,Salaried,31,0,A,DSA,970
C000168,Semi-urban,High,Informal,23,0,B,Partner-embedded,727
C000169,Rural,Mid,Self-employed,44,0,B,Referral,370
C000170,Urban,Mid,Gig,24,1,A,Organic,184
C000171,Rural,Mid,Self-employed,42,1,C,DSA,1146
C000172,Rural,Mid,Self-employed,23,1,D,Digital ads,953
C000173,Semi-urban,High,Gig,36,1,A,DSA,1380
C000174,Semi-urban,Low,Gig,50,0,A,DSA,706
C000175,Semi-urban,High,Salaried,46,0,A,Digital ads,1285
C000176,Semi-urban,Mid,Gig,32,0,C,Referral,225
C000177,Rural,Low,Gig,31,0,E,Digital ads,1601
C000178,Rural,High,Salaried,47,1,B,Partner-embedded,845
C000179,Rural,Low,Self-employed,20,0,B,Partner-embedded,845
C000180,Semi-urban,Low,Salaried,22,1,B,Referral,347
C000181,Rural,Low,Salaried,30,1,C,DSA,1064
C000182,Semi-urban,High,Gig,29,0,B,Referral,234
C000183,Semi-urban,High,Salaried,28,1,D,Digital ads,1412
C000184,Rural,Low,Gig,31,0,C,Organic,139
C000185,Urban,Mid,Salaried,55,0,C,DSA,787
C000186,Semi-urban,Mid,Salaried,26,1,B,Referral,219
C000187,Urban,Low,Informal,23,1,B,Partner-embedded,660
C000188,Urban,High,Salaried,27,1,B,Partner-embedded,584
C000189,Semi-urban,Mid,Salaried,30,0,C,Partner-embedded,570
C000190,Rural,High,Informal,23,1,D,DSA,999
C000191,Urban,Low,Gig,28,1,D,Digital ads,1161
C000192,Urban,Mid,Informal,37,0,C,Partner-embedded,527
C000193,Urban,Low,Informal,38,0,E,Digital ads,1443
C000194,Rural,High,Salaried,40,1,D,Organic,129
C000195,Rural,Mid,Self-employed,27,1,E,Digital ads,1274
C000196,Semi-urban,Mid,Self-employed,23,0,B,Digital ads,1097
C000197,Urban,Mid,Gig,44,1,B,Digital ads,1101
C000198,Rural,Low,Salaried,35,1,E,Digital ads,1340
C000199,Rural,Mid,Salaried,20,0,C,Digital ads,1127
C000200,Semi-urban,High,Salaried,29,1,A,Digital ads,1060
C000201,Semi-urban,High,Informal,38,1,A,Digital ads,927
C000202,Semi-urban,Mid,Gig,55,0,E,Digital ads,797
C000203,Urban,Low,Self-employed,28,1,C,Digital ads,1687
C000204,Semi-urban,High,Salaried,30,0,B,Organic,154
C000205,Rural,High,Salaried,39,1,A,Digital ads,1525
C000206,Semi-urban,Low,Gig,25,0,E,DSA,1035
C000207,Urban,Mid,Gig,27,0,E,Digital ads,1089
C000208,Semi-urban,Mid,Salaried,42,0,B,Referral,348
C000209,Semi-urban,Low,Salaried,34,0,A,Partner-embedded,890
C000210,Urban,Mid,Salaried,49,0,A,Organic,124
C000211,Rural,Low,Salaried,37,1,D,Digital ads,910
C000212,Urban,Mid,Salaried,19,0,B,Digital ads,1025
C000213,Semi-urban,Low,Self-employed,49,0,D,Referral,304
C000214,Semi-urban,Low,Salaried,43,0,A,Organic,154
C000215,Semi-urban,Low,Salaried,46,1,B,Digital ads,972
C000216,Urban,Mid,Self-employed,24,0,A,Digital ads,1136
C000217,Urban,Mid,Gig,26,1,C,DSA,1219
C000218,Semi-urban,Low,Self-employed,60,1,B,DSA,1038
C000219,Urban,High,Gig,29,1,B,Organic,142
C000220,Urban,Mid,Salaried,29,0,C,DSA,1025
C000221,Semi-urban,Mid,Gig,25,0,D,Digital ads,1015
C000222,Semi-urban,High,Informal,33,0,B,DSA,1241
C000223,Urban,High,Informal,34,1,B,DSA,1197
C000224,Semi-urban,Low,Salaried,51,1,D,DSA,847
C000225,Urban,Mid,Salaried,30,1,D,DSA,843
C000226,Rural,Mid,Salaried,24,1,D,Digital ads,860
C000227,Semi-urban,Low,Salaried,25,0,D,Digital ads,2099
C000228,Semi-urban,High,Gig,30,0,D,Partner-embedded,649
C000229,Urban,High,Self-employed,41,0,A,Referral,327
C000230,Urban,High,Salaried,26,1,B,Partner-embedded,590
C000231,Semi-urban,Mid,Gig,39,0,D,Digital ads,1557
C000232,Rural,Low,Gig,27,1,D,Digital ads,993
C000233,Urban,Mid,Salaried,33,0,B,Digital ads,1652
C000234,Semi-urban,Mid,Salaried,29,1,C,Partner-embedded,626
C000235,Semi-urban,Low,Informal,25,1,E,Partner-embedded,592
C000236,Semi-urban,Low,Salaried,39,0,C,Digital ads,903
C000237,Urban,Low,Salaried,30,1,B,Partner-embedded,773
C000238,Rural,Low,Salaried,24,0,D,Digital ads,1363
C000239,Semi-urban,High,Gig,25,1,D,Digital ads,986
C000240,Semi-urban,Low,Salaried,32,1,C,Referral,201
C000241,Urban,Mid,Informal,19,0,C,Partner-embedded,602
C000242,Semi-urban,High,Self-employed,54,1,C,Referral,294
C000243,Urban,Mid,Self-employed,28,1,E,Digital ads,1386
C000244,Semi-urban,Mid,Salaried,22,0,A,Partner-embedded,829
C000245,Urban,Low,Gig,26,0,D,DSA,813
C000246,Urban,Mid,Salaried,49,0,B,Partner-embedded,722
C000247,Rural,High,Self-employed,27,0,B,Referral,383
C000248,Rural,Low,Salaried,25,0,D,Referral,217
C000249,Semi-urban,Mid,Self-employed,29,0,C,Digital ads,1275
C000250,Semi-urban,Low,Informal,32,0,D,Partner-embedded,540
C000251,Semi-urban,Low,Self-employed,29,1,D,Digital ads,1574
C000252,Urban,High,Salaried,48,1,A,Organic,126
C000253,Urban,Mid,Salaried,27,0,E,DSA,1177
C000254,Urban,Mid,Salaried,32,0,C,Partner-embedded,560
C000255,Rural,Mid,Informal,25,0,C,Referral,333
C000256,Semi-urban,Mid,Self-employed,29,1,C,Digital ads,1580
C000257,Rural,Mid,Salaried,47,0,B,Digital ads,778
C000258,Urban,Low,Salaried,19,1,C,Partner-embedded,704
C000259,Semi-urban,Mid,Informal,31,0,E,Partner-embedded,680
C000260,Semi-urban,Low,Self-employed,41,0,C,Referral,400
C000261,Semi-urban,Mid,Salaried,40,1,A,Partner-embedded,746
C000262,Semi-urban,Mid,Informal,25,0,B,Digital ads,1012
C000263,Rural,Low,Self-employed,20,1,C,Referral,247
C000264,Semi-urban,Low,Salaried,40,0,B,Digital ads,1377
C000265,Semi-urban,High,Self-employed,55,1,B,Partner-embedded,422
C000266,Rural,Low,Self-employed,21,0,A,Partner-embedded,635
C000267,Rural,High,Salaried,25,0,C,Organic,151
C000268,Urban,High,Salaried,27,1,B,Organic,132
C000269,Semi-urban,High,Salaried,22,1,C,DSA,987
C000270,Semi-urban,High,Informal,31,1,A,Partner-embedded,511
C000271,Urban,Mid,Salaried,37,1,B,Partner-embedded,1008
C000272,Semi-urban,High,Salaried,27,0,B,Digital ads,1633
C000273,Rural,Mid,Gig,25,0,D,Partner-embedded,449
C000274,Urban,Low,Salaried,31,0,D,Partner-embedded,612
C000275,Urban,Mid,Self-employed,23,0,D,Digital ads,1098
C000276,Semi-urban,Low,Salaried,24,0,C,Referral,274
C000277,Urban,High,Gig,21,0,B,Digital ads,851
C000278,Urban,Low,Gig,23,0,C,Digital ads,1134
C000279,Semi-urban,Low,Salaried,28,0,B,Digital ads,1251
C000280,Semi-urban,Low,Salaried,25,1,A,DSA,1271
C000281,Semi-urban,High,Gig,55,0,C,DSA,1087
C000282,Semi-urban,High,Self-employed,32,1,C,DSA,1060
C000283,Urban,Mid,Self-employed,27,0,A,Partner-embedded,628
C000284,Urban,Mid,Gig,27,0,B,Partner-embedded,566
C000285,Urban,Low,Salaried,30,1,B,DSA,1204
C000286,Semi-urban,High,Self-employed,22,0,C,DSA,935
C000287,Urban,Mid,Gig,25,0,C,DSA,1458
C000288,Rural,Mid,Self-employed,36,0,C,Digital ads,1635
C000289,Semi-urban,Mid,Self-employed,21,0,B,Referral,342
C000290,Urban,Mid,Informal,31,1,B,Partner-embedded,636
C000291,Urban,Mid,Gig,27,0,D,Referral,438
C000292,Semi-urban,Mid,Self-employed,31,1,B,Digital ads,1290
C000293,Semi-urban,Low,Self-employed,40,0,C,Organic,141
C000294,Semi-urban,Mid,Salaried,32,0,E,Referral,359
C000295,Urban,Mid,Salaried,33,1,E,Organic,135
C000296,Semi-urban,Mid,Self-employed,32,0,B,DSA,727
C000297,Semi-urban,Low,Salaried,42,0,D,Digital ads,2445
C000298,Rural,High,Self-employed,24,0,A,Organic,107
C000299,Rural,Mid,Salaried,30,0,B,DSA,1089
C000300,Semi-urban,Mid,Salaried,33,0,C,Referral,338
C000301,Urban,High,Salaried,30,0,A,DSA,1511
C000302,Urban,Mid,Informal,27,1,C,Partner-embedded,697
C000303,Urban,Low,Salaried,29,0,C,DSA,754
C000304,Semi-urban,High,Self-employed,22,0,D,DSA,1120
C000305,Semi-urban,Mid,Self-employed,42,0,A,Referral,306
C000306,Semi-urban,Mid,Salaried,37,1,C,Digital ads,1194
C000307,Semi-urban,Low,Salaried,28,0,C,Partner-embedded,508
C000308,Urban,Mid,Self-employed,41,0,C,Organic,195
C000309,Urban,Mid,Self-employed,30,0,B,Digital ads,1815
C000310,Semi-urban,Mid,Self-employed,34,0,C,Partner-embedded,664
C000311,Urban,Low,Salaried,20,0,E,Partner-embedded,480
C000312,Urban,Mid,Self-employed,27,1,B,Partner-embedded,432
C000313,Rural,Low,Self-employed,23,1,D,Digital ads,1014
C000314,Semi-urban,Low,Salaried,36,0,D,Partner-embedded,625
C000315,Urban,Mid,Informal,35,0,D,Digital ads,759
C000316,Semi-urban,Mid,Gig,26,0,D,Digital ads,1359
C000317,Urban,High,Gig,38,0,D,Partner-embedded,552
C000318,Semi-urban,Mid,Gig,29,1,C,DSA,896
C000319,Semi-urban,Mid,Self-employed,31,0,C,Partner-embedded,558
C000320,Semi-urban,Mid,Gig,31,0,A,Organic,165
C000321,Semi-urban,Low,Informal,26,1,E,Digital ads,1124
C000322,Semi-urban,High,Self-employed,40,1,A,Partner-embedded,578
C000323,Semi-urban,Low,Self-employed,22,0,D,Digital ads,1523
C000324,Urban,High,Salaried,24,1,A,Partner-embedded,502
C000325,Rural,Mid,Salaried,24,1,A,Partner-embedded,555
C000326,Urban,Mid,Salaried,42,0,A,Referral,329
C000327,Rural,Mid,Salaried,30,0,B,Digital ads,1296
C000328,Urban,High,Salaried,40,1,D,Partner-embedded,504
C000329,Urban,Mid,Salaried,30,0,B,Partner-embedded,639
C000330,Semi-urban,Mid,Gig,44,1,C,Digital ads,1715
C000331,Semi-urban,Low,Salaried,48,0,A,Partner-embedded,380
C000332,Urban,Low,Salaried,38,0,B,Organic,135
C000333,Semi-urban,High,Informal,30,1,B,Partner-embedded,491
C000334,Semi-urban,Low,Self-employed,25,1,E,Digital ads,900
C000335,Semi-urban,High,Gig,26,0,B,Referral,283
C000336,Rural,Mid,Gig,24,0,C,Digital ads,738
C000337,Semi-urban,Low,Salaried,21,0,B,Organic,136
C000338,Rural,Mid,Salaried,31,0,A,Digital ads,1053
C000339,Semi-urban,Low,Informal,45,1,D,Digital ads,1231
C000340,Urban,Mid,Salaried,26,0,B,Referral,248
C000341,Semi-urban,Mid,Informal,23,0,B,Partner-embedded,497
C000342,Semi-urban,Low,Salaried,36,0,A,DSA,812
C000343,Semi-urban,Low,Informal,35,0,A,Digital ads,1401
C000344,Rural,Low,Salaried,22,0,C,Partner-embedded,474
C000345,Semi-urban,Low,Informal,36,0,E,Digital ads,1163
C000346,Urban,High,Salaried,41,1,A,Referral,303
C000347,Urban,Mid,Salaried,30,1,B,Digital ads,1083
C000348,Semi-urban,Mid,Informal,26,0,D,Partner-embedded,664
C000349,Urban,Low,Salaried,31,0,C,Partner-embedded,512
C000350,Urban,Mid,Salaried,38,0,D,Partner-embedded,644
C000351,Semi-urban,High,Self-employed,52,0,C,Digital ads,960
C000352,Urban,Low,Self-employed,30,1,B,DSA,805
C000353,Urban,High,Self-employed,35,0,D,Referral,269
C000354,Urban,Low,Salaried,46,1,A,Referral,285
C000355,Rural,Mid,Gig,32,1,B,DSA,887
C000356,Semi-urban,Low,Salaried,20,0,C,Digital ads,1233
C000357,Rural,Low,Self-employed,30,0,B,Digital ads,1292
C000358,Semi-urban,Low,Self-employed,30,1,D,Organic,141
C000359,Semi-urban,Low,Informal,27,1,A,Digital ads,1742
C000360,Rural,Mid,Self-employed,41,0,C,Organic,141
C000361,Urban,Mid,Self-employed,31,1,C,Digital ads,1302
C000362,Urban,Mid,Gig,31,1,D,DSA,1211
C000363,Semi-urban,Low,Salaried,32,0,B,Partner-embedded,655
C000364,Urban,Low,Informal,24,0,E,Partner-embedded,578
C000365,Urban,Mid,Gig,38,0,C,Organic,132
C000366,Semi-urban,Mid,Gig,36,1,C,Organic,167
C000367,Semi-urban,Mid,Salaried,24,0,C,Partner-embedded,759
C000368,Urban,Low,Self-employed,45,1,B,Referral,300
C000369,Semi-urban,Mid,Self-employed,26,1,C,Digital ads,876
C000370,Semi-urban,Low,Salaried,36,1,D,Digital ads,1426
C000371,Rural,Mid,Self-employed,35,1,E,Organic,141
C000372,Semi-urban,Mid,Salaried,34,0,C,Organic,191
C000373,Urban,Low,Self-employed,29,0,C,Digital ads,1284
C000374,Urban,Mid,Salaried,20,1,D,Referral,245
C000375,Semi-urban,Low,Salaried,38,0,B,Digital ads,1149
C000376,Rural,Mid,Salaried,24,1,B,Referral,295
C000377,Semi-urban,Mid,Gig,31,0,E,Digital ads,1082
C000378,Semi-urban,Mid,Salaried,57,0,C,Referral,276
C000379,Semi-urban,Low,Salaried,41,1,B,Partner-embedded,511
C000380,Semi-urban,Low,Gig,18,0,E,Digital ads,887
C000381,Semi-urban,Mid,Salaried,34,0,A,Digital ads,830
C000382,Urban,Low,Salaried,24,1,B,Digital ads,1389
C000383,Semi-urban,Mid,Salaried,35,1,C,Digital ads,1294
C000384,Semi-urban,High,Salaried,44,0,A,Organic,122
C000385,Semi-urban,High,Gig,29,0,B,Partner-embedded,788
C000386,Semi-urban,Low,Gig,40,0,D,Digital ads,1134
C000387,Urban,Low,Salaried,25,0,C,Partner-embedded,536
C000388,Semi-urban,Mid,Self-employed,27,0,B,Digital ads,1054
C000389,Semi-urban,Mid,Salaried,41,0,C,Digital ads,1385
C000390,Semi-urban,High,Salaried,53,0,A,Partner-embedded,378
C000391,Semi-urban,Low,Salaried,36,0,D,DSA,814
C000392,Urban,Low,Salaried,36,0,A,Organic,222
C000393,Semi-urban,Mid,Salaried,20,0,B,Partner-embedded,671
C000394,Urban,Mid,Gig,24,1,A,Digital ads,1612
C000395,Rural,Low,Salaried,59,0,B,Partner-embedded,801
C000396,Semi-urban,Mid,Salaried,51,0,C,DSA,920
C000397,Urban,High,Salaried,37,0,C,Digital ads,1346
C000398,Semi-urban,High,Self-employed,33,0,B,Digital ads,814
C000399,Semi-urban,Low,Self-employed,51,0,B,Referral,281
C000400,Rural,Mid,Salaried,32,0,A,Referral,187
C000401,Semi-urban,Mid,Salaried,34,1,E,Digital ads,1554
C000402,Urban,Low,Gig,44,0,E,DSA,1327
C000403,Urban,Low,Self-employed,43,0,C,Digital ads,1243
C000404,Urban,Low,Salaried,24,0,B,Digital ads,1568
C000405,Urban,Low,Salaried,24,1,C,Partner-embedded,751
C000406,Semi-urban,High,Salaried,36,0,A,Organic,177
C000407,Urban,Low,Self-employed,31,0,D,DSA,1132
C000408,Urban,Low,Self-employed,26,0,D,Digital ads,1354
C000409,Semi-urban,Mid,Salaried,36,0,B,DSA,1361
C000410,Semi-urban,Low,Salaried,20,0,C,Digital ads,708
C000411,Urban,Low,Salaried,43,0,B,Organic,114
C000412,Semi-urban,Low,Salaried,26,1,C,DSA,1350
C000413,Rural,Mid,Salaried,39,0,C,Digital ads,1305
C000414,Urban,Mid,Salaried,28,0,A,Digital ads,1458
C000415,Urban,Low,Gig,36,1,D,Digital ads,1413
C000416,Urban,High,Salaried,23,0,A,Partner-embedded,458
C000417,Urban,Mid,Salaried,26,1,E,Digital ads,1059
C000418,Urban,Mid,Salaried,28,0,D,Organic,157
C000419,Semi-urban,Mid,Salaried,27,1,B,DSA,1292
C000420,Rural,Low,Gig,24,0,D,Organic,119
C000421,Semi-urban,Mid,Informal,43,1,D,Partner-embedded,679
C000422,Rural,Low,Gig,32,0,D,Digital ads,931
C000423,Urban,High,Self-employed,36,0,E,Digital ads,1372
C000424,Urban,Low,Self-employed,32,0,C,Referral,295
C000425,Urban,Low,Salaried,21,0,A,Organic,166
C000426,Semi-urban,High,Salaried,24,0,A,DSA,1138
C000427,Urban,High,Gig,24,1,D,DSA,976
C000428,Urban,Low,Gig,42,0,B,Partner-embedded,513
C000429,Semi-urban,Mid,Gig,30,0,E,Organic,126
C000430,Urban,High,Self-employed,30,1,B,Partner-embedded,482
C000431,Semi-urban,Low,Salaried,50,1,C,Digital ads,1306
C000432,Semi-urban,Low,Informal,32,0,C,Partner-embedded,740
C000433,Rural,Low,Self-employed,25,0,B,Referral,287
C000434,Rural,Mid,Gig,33,1,B,Digital ads,1409
C000435,Semi-urban,High,Self-employed,40,0,B,Partner-embedded,462
C000436,Semi-urban,Low,Salaried,20,0,D,Digital ads,1236
C000437,Urban,Mid,Gig,24,0,B,Referral,221
C000438,Urban,Low,Self-employed,32,0,D,Partner-embedded,737
C000439,Semi-urban,Mid,Informal,34,0,C,Partner-embedded,798
